source,target
2726,259
2726,2313
2726,3440
2726,9030
2726,9031
2726,9032
2726,9033
2726,9034
906,1735
608,3078
608,4055
970,349
10027,7363
15910,65
15910,15909
16635,10471
16635,16631
16635,16632
16635,16633
16635,16634
1356,728
10274,380
10833,10471
10833,10834
3894,1591
3894,4055
3894,4060
3894,4063
3894,4065
3894,4098
9146,128
3284,209
3284,10212
9191,290
16632,10471
16632,16631
16632,16633
16632,16634
9387,3370
16196,14
16196,53
16196,3100
16196,16195
10095,2875
10095,8448
10095,10237
10236,10092
16581,10393
9726,9033
16543,1806
16543,16542
7058,260
7058,8874
7058,8875
7058,8876
5220,58
5220,16458
7267,264
1260,3342
3395,727
2140,65
2140,2137
2140,2138
2140,2139
9797,9120
748,1228
16315,3321
16315,16316
7243,59
1350,1349
8887,1041
10343,10335
1144,2313
14771,449
14771,10446
14771,16598
3173,3117
3173,9216
3173,9217
3173,9218
15909,65
953,349
8169,8168
3463,345
8786,3378
7209,3105
7209,9213
2449,2744
8727,517
9668,7028
10642,2834
10642,2836
10642,3739
10642,5356
10642,10640
10642,10641
10642,15701
10642,16153
10642,16156
10642,16159
10642,16162
1986,3170
10079,212
9041,1802
4095,3943
8931,3422
10125,3688
16468,5340
9748,9055
7363,2075
7363,10018
7363,10019
7363,10020
7363,10021
7363,10022
7363,10023
7363,10024
7363,10025
7363,10026
7363,10028
7363,10029
7363,10030
7363,10031
7363,10032
7363,10033
7363,10034
7363,10035
7363,10036
7363,10037
8717,226
3264,260
3264,614
3264,7028
3264,7029
3264,7030
3264,7031
3264,8861
3264,8862
3264,8863
10490,5369
10490,10489
10490,10494
10490,10495
6824,1735
6826,1735
1033,2830
189,403
3473,345
50,153
5227,737
5227,5230
5227,7124
5227,10389
5227,10744
5227,16521
5227,16522
5227,16523
16302,2075
16302,16301
16302,16303
10387,35
10387,2179
3651,208
3651,319
3651,572
3651,884
3651,2448
3651,10363
3651,10590
3651,10888
3651,12247
3651,12254
3651,12428
3651,13647
3651,16097
3651,16241
3651,16242
3651,16243
3651,16244
9078,1128
9115,367
8064,1132
3168,58
3168,3256
3168,9297
3168,9298
8379,737
249,1132
249,1336
249,8030
8721,498
9998,147
9998,10142
9879,217
9817,2075
16181,3170
1786,3170
1632,262
1632,1626
1632,1776
1632,1778
1632,8642
1687,3170
9687,8891
6955,3322
10593,3093
10593,10592
10593,10594
10593,10595
10593,10596
10593,10597
10593,10598
10593,10599
10593,10600
10593,10601
10593,10602
3208,2313
3267,2448
1400,60
9983,318
1068,2312
14927,1361
3424,3706
3424,6870
3424,6871
3424,6872
3424,6873
3424,9431
3424,9432
3424,9433
3424,9434
3424,9435
3424,9436
3343,391
3343,5229
3343,10451
3343,10814
3343,16617
16824,8164
16824,16825
1167,247
9156,3367
