id,birthY,gender,nationality,label
1215,1286,1,元,本無
15384,1018,1,北宋,呂公著
793,922,1,北宋,懷祥
2217,1050,1,北宋,景德慧昌
2266,982,1,宋,左伸
258,1011,1,北宋,處謙
3026,1368,1,明,文海道瀾
3596,1089,1,宋,如沼
4740,928,1,五代十國,仁郁
6049,1027,1,北宋,德顒
6273,864,1,北宋,大歷志聰
434,1092,1,南宋,守賾
15010,830,1,唐,唐稟
5912,845,1,五代十國,常普
2960,1234,1,元,思珉
4408,997,1,北宋,宗震
2963,1292,1,元,雲威
15675,1355,1,明,古峯
1227,1286,1,元,善繼
15891,1103,1,南宋,李子揚
4577,938,1,唐,師筠
10618,1326,1,明,慧無盡
14368,1271,1,元,月公
15816,1019,1,南宋,朱防禦
6154,980,1,北宋,景先
4958,954,1,唐,惟素
4637,835,1,唐,水西南臺
3002,1284,1,明,明叟昌
16832,1335,1,明,徐賁
5872,810,1,五代十國,自古
2738,1045,1,北宋,希聲
7507,1025,1,北宋,岳林圓明
2078,898,1,五代十國,應清
664,916,1,北宋,慧悟
3972,819,1,五代十國,微
4007,835,1,五代十國,懷畫
6388,962,1,北宋,隆福紹珍
3558,1089,1,宋,祖麟
16923,1262,1,元,自善
4748,864,1,五代十國,溫門山滿
6262,864,1,北宋,韶州月華和尚
185,862,1,五代十國,贍公
4807,980,1,北宋,投子法宗
3735,1045,1,北宋,曉顏
2528,1199,1,南宋,普度
6034,1027,1,南宋,建隆原
5990,993,1,北宋,洞偕
3023,1371,1,明,無隱智光
4040,807,1,唐,崇恩
3748,1302,1,元,惟一
4937,885,1,唐,同安紹顯
5853,1079,1,南宋,子涓
6554,841,1,五代十國,龍會鑒
6719,946,1,北宋,立化侍者
6743,951,1,北宋,雲臺己親
15812,996,1,北宋,金鑾善
5285,1078,1,南宋,曾開
3536,1111,1,南宋,已菴深
4260,835,1,五代十國,福清行欽
4252,835,1,五代十國,契符
4944,885,1,唐,荊門上泉
5904,839,1,五代十國,龍光諲
4991,929,1,北宋,薦福歸則
8236,943,1,北宋,崇勝智聰
6575,889,1,北宋,藥山用和
6408,949,1,北宋,開善普
8257,1263,1,元,空山果
6237,864,1,五代十國,白雲聞
15683,1271,1,元,心崖和
11235,1286,1,元,孛兒只斤愛育黎拔力八達
1224,1254,1,元,瞿
6175,980,1,北宋,承天傳宗
6066,1057,1,北宋,衛州王大夫
2715,1003,1,北宋,聖泉紹燈
7874,852,1,五代十國,谷隱法誨
6321,996,1,北宋,廣慧遇新
6229,864,1,五代十國,乾明普
6326,996,1,北宋,雪峯象敦
6413,929,1,北宋,智者嗣如
7516,1025,1,北宋,崇福德徽
12460,989,1,北宋,范仲淹
5682,1152,1,元,融
13831,1137,1,南宋,道欽
7424,1017,1,北宋,南禪光澡
6054,1027,1,北宋,子勝
6784,1393,1,明,東明弘曉
4865,993,1,北宋,澄照慧慈
15376,1045,1,北宋,蔣湋
168,1022,1,北宋,法泉
5970,807,1,五代十國,高明和尚
13724,1271,1,元,有傳
14572,804,1,唐,慧靈
12231,927,1,北宋,趙匡胤
6430,964,1,北宋,靈巖宣密
14135,902,1,五代十國,廣智
6548,841,1,五代十國,報恩契從
7771,817,1,唐,鴻超
2648,916,1,北宋,清護
6692,1155,1,南宋,足翁麟
4307,926,1,北宋,契曠
5019,891,1,北宋,地藏瓊
276,1077,1,南宋,普紹
1740,1138,1,南宋,善淨
2526,1175,1,南宋,心月
2265,1011,1,北宋,思照
2730,1029,1,北宋,慶閑
3005,1257,1,明,法興
4465,1025,1,北宋,可僊
4493,1047,1,北宋,黃龍道觀
4815,864,1,五代十國,開先照
6322,996,1,北宋,洞山永孚
6436,929,1,北宋,化城自顏
7932,1053,1,南宋,能仁普禧
15159,1377,1,明,桑渴巴辣
15936,1257,1,元,吳存
15828,1035,1,北宋,董琪
8228,943,1,北宋,福嚴賢
6355,1030,1,北宋,法興期
6563,844,1,北宋,普通從善
12239,1027,1,北宋,蒲宗孟
15054,1075,1,北宋,法燈
15820,1038,2,北宋,趙氏
607,805,1,唐,善會
10919,1376,1,明,天宇淨
15542,850,2,五代十國,張氏
2657,930,1,北宋,道詮
6350,997,1,北宋,四明贇
6147,1020,1,北宋,應圓
15599,1209,1,元,闊端
15786,1127,1,南宋,尤袤
3996,805,1,唐,山幽
6527,868,1,五代十國,洞山龜端
1931,1301,1,明,子榮
4328,991,1,北宋,紹清
6714,1284,1,元,靈石一舟蓮
15942,1282,1,元,完者都
6478,885,1,北宋,雪竇清
7890,1091,1,南宋,子靈
4225,854,1,五代十國,保安連
4037,807,1,五代十國,僧一
4678,1043,1,南宋,高世則
5059,1183,1,南宋,臭菴宗
4205,846,1,五代十國,清運
15393,1060,1,南宋,宗澤
15590,958,1,北宋,趙安仁
5954,837,1,五代十國,崇勝證
4267,857,1,五代十國,義聰
15626,979,1,北宋,勝喬
15792,1016,1,北宋,嗣仁社主
5890,846,1,五代十國,新開
4521,1044,1,北宋,踈山了常
4923,1047,1,北宋,證悟
6336,984,1,北宋,海會顯同
172,1119,1,南宋,法登
13755,1304,1,元,達普化
6555,841,1,五代十國,安州穆
15753,840,1,唐,署山
6501,891,1,北宋,觀音朗
4561,879,1,唐,審哲
8546,1088,1,南宋,幽岩了諒
7580,946,1,北宋,華嚴義然
4240,854,1,五代十國,報恩宗顯
5838,1018,1,南宋,遵伒
7438,1002,1,北宋,靈鷲慧覺
629,1025,1,北宋,惟鳳 
16756,1317,2,元,鄭氏
5136,1164,1,南宋,石樓明 
13813,1132,1,南宋,張孝祥
14043,1110,1,南宋,慧綽
16781,1369,1,明,王瀹
2941,1242,1,元,福海
4873,993,1,北宋,望仙山宗
2780,1059,1,北宋,惠懃
1779,821,1,唐,僧徹
5951,837,1,五代十國,伏龍三世
4684,1053,1,南宋,慧日法安
7655,807,1,唐,處州遂昌
14608,866,1,唐,徽猷
5818,1065,1,南宋,子言
1489,1036,1,北宋,純白
3072,1381,1,明,濟舟洪
11044,1127,1,南宋,趙昚
4601,845,1,唐,歸仁
6234,864,1,五代十國,東禪秀
6744,1291,1,明,無諗學
6108,1020,1,南宋,元祖
437,1077,1,南宋,懷深
4050,807,1,唐,瑞巖
2849,1083,1,南宋,齊己
11109,1209,1,元,祥邁
6310,984,1,北宋,水南智昱
13721,1271,1,元,道臻
16906,1209,1,元,善朗
893,1136,1,南宋,祖先
7555,976,1,北宋,興陽啟舟
8539,1105,1,南宋,棘林杷
6004,1055,1,北宋,惟一
11148,939,1,北宋,趙炅
15390,841,1,五代十國,慧遠
2065,882,1,五代十國,清化全付
4208,846,1,五代十國,如新
6115,1020,1,北宋,彰法嵩
6091,1020,1,北宋,崇僊
15639,1010,2,北宋,葛氏
6700,841,1,五代十國,綿竹定慧
6695,1130,2,南宋,了庵智悟
7479,1025,1,北宋,景德慧英
1380,864,1,五代十國,顥鑒
15352,1032,1,宋,朱進士
662,860,1,五代十國,鼓山神晏
6339,948,1,北宋,龍門仁永
4821,948,1,五代十國,建福智同
4525,1025,1,北宋,三聖繼昌
14093,825,1,唐,仁楚
6110,1077,1,南宋,慧邃
4539,1002,1,北宋,道圓
14086,856,1,五代十國,李克用
15737,1366,1,明,休雲
6651,1108,1,南宋,茨庵堯
5913,845,1,五代十國,樂營將
2635,885,1,北宋,歸宗策真
2404,1080,1,南宋,彥岑
5022,891,1,北宋,道孜
14844,843,1,五代十國,志通
6099,1020,1,北宋,悟本慶
5706,1360,1,明,香
2373,1090,1,宋,有倫
15321,968,2,北宋,劉娥
3031,1376,1,明,簡庵師頤
6200,922,1,北宋,白虎守昇
15643,1045,1,北宋,延慶
3967,812,1,五代十國,如訥
4588,938,1,唐,雲頂鑑
6689,1151,1,南宋,囦叟源
13765,1358,1,明,張昺
3842,1381,1,明,太虛冲
5805,1138,1,南宋,復川源
5116,1103,1,南宋,善登
407,1183,1,南宋,慧開
5840,1018,1,南宋,宗自
14105,885,1,唐,馬裔孫
5947,805,1,唐,延休
15019,859,1,五代十國,義豐
15628,1011,1,北宋,呂溱
4086,828,1,五代十國,慧宗
4155,822,1,五代十國,歸本
4632,852,1,五代十國,谷隱契崇
15015,850,1,唐,吳融
6011,1035,1,北宋,文彥
335,1032,1,北宋,義青
441,1012,1,北宋,繼忠
2515,826,1,唐,崇諲
4737,948,1,五代十國,師寬
5839,1018,1,南宋,大明明
1524,843,1,五代十國,無迹
2358,1087,1,南宋,道琛
6269,864,1,北宋,投子通
4986,929,1,五代十國,雲居契瓌
6252,864,1,五代十國,龍光
6489,885,1,北宋,崇勝楚齊
4573,839,1,五代十國,廣德周
4822,948,1,五代十國,慧滿
2942,1243,1,元,栖岩益
15781,943,1,五代十國,智通
2822,885,1,北宋,辯隆
4368,989,1,北宋,崇珍
6341,948,1,北宋,雙泉瓊
15732,1243,1,元,淨
15861,1108,1,南宋,法雲善遵
339,1121,1,南宋,義銛
2155,912,1,北宋,志逢
2710,1013,1,北宋,可久
6503,885,1,北宋,黃龍仁
3589,1089,1,南宋,僧鶚
5807,1138,1,南宋,怪翁祥
6545,822,1,五代十國,妙濟師浩
7765,817,1,唐,智朗
6431,964,1,北宋,靈鳳慧端
6364,947,1,北宋,衡山了實
4664,943,1,北宋,大陽慧
2623,871,1,五代十國,慶猷
15098,964,1,北宋,馬亮
4615,840,1,唐,華光範
14312,843,1,唐,杜雄
236,1286,1,元,惟則
7463,1066,1,北宋,徑山惟表
5281,1031,1,北宋,福深
7503,1025,1,北宋,祥符智先
4144,822,1,五代十國,從襲
5743,1089,1,南宋,四恩庵主
4376,989,1,北宋,顯忠
2512,876,1,唐,匡嗣
5960,884,1,北宋,義崇
15642,1042,1,北宋,王氏
13369,833,1,唐,李漼
6445,929,1,北宋,靈隱蘊聰
15902,1098,1,南宋,李敦老
6494,885,1,北宋,大寧道邁
24,1066,1,北宋,子淳
6694,1177,1,南宋,殊勝圓明因
4829,997,1,北宋,國慶順宗
16920,1262,1,元,惠溥
6547,822,1,五代十國,廣州大通
4366,965,1,北宋,景靜
4749,864,1,五代十國,大容諲
6259,864,1,五代十國,纂子山庵主
15880,1104,1,南宋,吳芾
6085,1020,1,北宋,常利
7448,1002,1,北宋,廉泉曇秀
14696,938,1,唐,白承睿
2402,1100,1,南宋,法久
6518,867,1,北宋,慧日明
4676,1043,1,北宋,普賢善秀
7590,970,1,北宋,瑞巖智才
4017,805,1,五代十國,崇福志
4540,1066,1,北宋,慧琳 
1435,1052,1,南宋,行瑛
2977,1290,1,元,浦尚
