source,target,id
1,59,1
2,39,2
2,160,3
2,680,4
2,682,5
2,700,6
2,703,7
2,8533,8
3,106,9
3,11145,10
4,81,11
4,351,12
4,2390,13
4,11014,14
5,27,15
5,184,16
5,305,17
5,354,18
5,1636,19
5,2573,20
5,11025,21
5,11501,22
5,13863,23
5,13988,24
5,13991,25
5,13992,26
6,366,27
6,5390,28
6,10306,29
6,10491,30
6,10771,31
6,10772,32
6,13802,33
7,891,34
8,378,35
8,2036,36
8,2365,37
8,2372,38
8,2374,39
8,2818,40
8,3756,41
8,4177,42
9,192,43
10,1059,44
10,1109,45
10,1135,46
10,1243,47
10,1264,48
10,1512,49
10,1623,50
10,1630,51
10,1699,52
10,1756,53
10,3192,54
10,9845,55
11,973,56
11,1538,57
11,1923,58
11,1932,59
11,12459,60
12,379,61
12,10572,62
12,10573,63
13,73,64
13,177,65
13,227,66
13,325,67
13,400,68
13,447,69
13,1573,70
13,1604,71
14,53,72
14,71,73
14,211,74
14,254,75
14,3100,76
14,13417,77
14,16195,78
14,16196,79
15,131,80
15,232,81
15,410,82
15,858,83
15,1335,84
15,1766,85
15,2940,86
15,2981,87
15,2985,88
15,2990,89
15,2992,90
15,2993,91
15,2994,92
15,2999,93
15,3001,94
15,5092,95
15,5193,96
15,5711,97
15,6711,98
15,6712,99
15,6713,100
15,6714,101
15,13403,102
15,13404,103
15,13923,104
15,15866,105
15,15979,106
15,16210,107
16,319,108
16,884,109
16,1646,110
16,10578,111
16,16219,112
16,16220,113
17,1228,114
18,677,115
18,1892,116
18,3953,117
18,3956,118
18,6590,119
18,6591,120
19,2475,121
19,2476,122
19,2477,123
19,2478,124
19,2479,125
20,142,126
20,1335,127
20,6696,128
21,894,129
21,5297,130
21,7392,131
21,11099,132
21,11145,133
22,116,134
23,11004,135
23,13404,136
23,16974,137
23,16975,138
24,69,139
24,355,140
24,397,141
24,1119,142
24,1431,143
24,4691,144
24,7898,145
24,7899,146
24,7900,147
24,8549,148
24,8550,149
24,15842,150
24,15843,151
24,15844,152
24,15845,153
24,15846,154
25,250,155
25,785,156
25,786,157
25,3478,158
26,175,159
27,112,160
27,184,161
27,272,162
27,354,163
27,817,164
27,818,165
27,1438,166
27,1539,167
27,1540,168
27,1602,169
27,2467,170
27,5408,171
27,5409,172
27,5423,173
27,11025,174
27,11052,175
27,11089,176
27,11149,177
27,11153,178
27,11156,179
27,13838,180
27,13847,181
27,13848,182
27,13849,183
27,13850,184
27,13851,185
27,13852,186
27,13853,187
27,13855,188
27,13953,189
27,13955,190
27,13956,191
27,14014,192
27,14930,193
27,15381,194
27,15386,195
27,15387,196
27,15693,197
28,69,198
29,374,199
29,13894,200
30,181,201
30,427,202
30,2239,203
30,2366,204
30,2710,205
30,2733,206
30,3459,207
30,5195,208
30,15623,209
31,752,210
31,5032,211
31,5033,212
31,5034,213
31,5035,214
31,5036,215
31,7412,216
31,7413,217
31,7414,218
32,1815,219
33,1815,220
34,1386,221
34,1461,222
34,1682,223
34,2358,224
34,2793,225
34,2902,226
34,3529,227
34,4544,228
34,15694,229
35,37,230
35,260,231
35,262,232
35,360,233
35,631,234
35,640,235
35,652,236
35,658,237
35,1132,238
35,1735,239
35,2260,240
35,3112,241
35,3121,242
35,3148,243
35,3151,244
35,3164,245
35,5253,246
35,5338,247
35,8164,248
35,10387,249
35,16376,250
36,130,251
37,153,252
37,359,253
37,640,254
37,3085,255
37,3341,256
37,4730,257
37,10706,258
37,16435,259
37,16436,260
38,89,261
38,300,262
38,445,263
38,10545,264
39,150,265
39,411,266
39,633,267
39,651,268
39,8529,269
39,8530,270
39,8531,271
40,421,272
41,42,273
41,480,274
41,11288,275
41,11289,276
41,11290,277
42,480,278
42,11069,279
42,11105,280
42,11147,281
42,11292,282
42,11293,283
42,15579,284
42,16064,285
