id,birthY,gender,nationality,label
1,1599,1,清,𧧌震
2,1639,1,清,鑑堂一
3,1247,1,南宋 元 日本,一寧
4,1352,1,明,一如
5,683,1,唐,一行
6,1729,1,清,了貞
7,1118,1,南宋,了悟
8,1077,1,北宋 南宋,了然
9,1149,1,明,了圓
10,1630,1,明 清,上思
11,724,1,唐,于頔
12,1334,1,元 明,大佑
13,622,1,唐,普光
14,1564,1,明,大惠
15,1284,1,元,大訢
16,1576,1,明,大壑
17,1593,1,明 清,大璸
18,732,1,唐,寶通
19,678,1,唐,大覺
20,1201,1,南宋,大觀
21,1226,1,南宋 元 日本,祖元
22,1089,1,南宋,子文
23,1320,1,元,子成
24,1066,1,北宋,子淳
25,965,1,北宋,長水子璿
26,1018,1,宋,才良
27,705,1,唐,不空
28,1091,1,南宋,中翼
29,656,1,唐,悲智
30,992,1,北宋,仁岳
31,992,1,北宋,仁勇
32,1637,1,明 清,今辨
33,1615,1,明 清,今釋
34,1080,1,南宋,介諶
35,1576,1,明,元來
36,1149,1,南宋 元,元粹
37,1578,1,明 清,鼓山元賢
38,529,1,印度,世親
39,1639,1,清,幻敏
40,1327,1,明,心泰
41,147,1,東漢,支婁迦讖
42,181,1,孫吳,支謙
43,1241,1,南宋 元,文才
44,885,1,五代十國,文益
45,1319,1,元,文康
46,1345,1,明,文琇
47,1261,1,南宋 元,文寶
48,1276,1,元,文藻
49,1487,1,明,方澤
50,1611,1,清,普悅方醒
51,1223,1,南宋 元,可度
52,1092,1,北宋 南宋,可觀
53,1569,1,明,古德
54,1663,1,清,巨翔
55,1880,1,民國,弘一
56,602,1,唐,弘忍
57,1592,1,清,弘裕
58,1605,1,明 清,弘儲
59,1599,1,明 清,弘璧
60,1630,1,明 清,弘瀚
61,1612,1,明 清,弘贊
62,982,1,北宋,本如
63,1276,1,元,本真
64,1555,1,明,本智
65,1404,1,明,本瑞   
66,1600,1,明 清,正明
67,1549,1,明,正傳
68,1545,1,明,正誨
69,1091,1,南宋,正覺
70,905,1,五代十國 北宋,延壽
71,1564,1,明,大會永海
72,1275,1,元,竺源水盛
73,602,1,唐,玄奘
74,601,1,唐,道世
75,608,1,唐,玄應
76,1610,1,明 清,德申
77,1682,1,清,石壇光模
78,1265,1,元,先睹
79,1632,1,清,全威
80,549,1,隋 唐,吉藏
81,1320,1,元 明,如玘
82,990,1,北宋,如吉
83,1425,1,明,如巹
84,1619,1,清,善一如純
85,1537,1,明,如惺
86,1541,1,明,如馨
87,1103,1,南宋,鳳山守詮
88,1072,1,北宋 南宋,守遂
89,529,1,印度,安慧
90,1618,1,明 清,成時
91,1021,1,北宋,有嚴
92,1611,1,明 清,行元
93,1276,1,元,自成
94,1615,1,明 清,自融
95,1611,1,明 清,行舟
96,1166,1,金 元,行秀
97,1600,1,明 清,行省
98,1620,1,明 清,行悅
99,1091,1,南宋,行從
100,1593,1,清,行敏
101,1593,1,清,行盛
102,1614,1,明 清,行森
103,1628,1,明 清,行策
104,919,1,北宋,行靖
105,711,1,唐,行滿
106,1220,1,元,行彌
107,1621,1,清,無諍行謙
108,1605,1,清,行韜
109,469,1,北魏,佛陀扇多
110,1320,1,明,克勤
111,725,1,唐,利言
112,706,1,唐,含光
113,1201,1,南宋,天台妙倫
114,1242,1,元,妙恩
115,1219,1,元,妙高
116,1089,1,南宋,宗杲   
117,1247,1,元,希陵
118,775,1,唐,希運
119,1311,1,明,希顏
120,761,1,唐,志鴻
121,988,1,北宋,李遵勗
122,558,1,隋 唐,法順
123,1259,1,元,沙囉巴
124,1276,1,元,良圭
125,490,1,隋,那連提黎耶舍
126,1337,1,元 明,忻悟
127,1607,1,明 清,受登
128,1591,1,明,周理
129,1027,1,北宋,宗永
130,1149,1,南宋,宗印
131,1318,1,明,宗泐
132,780,1,唐,宗密
133,1376,1,明,宗淨
134,1121,1,南宋,宗壽
135,1091,1,南宋,宗榮
136,1151,1,南宋,宗曉
137,1055,1,北宋,宗頤
138,1309,1,明,宗黼
139,683,1,唐,定賓
140,990,1,北宋,尚賢
141,1291,1,明,居頂
142,1164,1,南宋,居簡
143,1282,1,元,念常
144,1592,1,清,良照
145,1562,1,明,性祇
146,1603,1,清,性胤
147,1671,1,清,性音
148,1693,1,清,性起
149,1661,1,清,性統
150,1639,1,清,性鉅
151,1265,1,元,性澄
152,1615,1,清,性磊
153,1611,1,明 清,性聰
154,1235,1,元,拔合思巴
155,1561,1,明,明凡
156,1263,1,元,明本
157,1588,1,明,明河
158,630,1,唐,明恂
159,1631,1,清,明喜
160,1639,1,清,明滿
161,561,1,唐,明曠
162,495,1,北周,法上
163,653,1,唐,法月
164,746,1,唐,法全
165,1089,1,南宋,法宏
166,1634,1,清,法秀
167,1284,1,元,法林
168,1022,1,北宋,法泉
169,1091,1,南宋,大洪法為
170,1102,1,南宋,瑞巖法恭
171,571,1,唐,法琳
172,1119,1,南宋,法登
173,539,1,隋,法慎
174,1185,1,南宋,法照
175,1018,1,北宋,法演
176,1091,1,南宋,法潤
177,635,1,唐,法寶
178,569,1,唐,法礪
179,239,1,西晉,竺法護
180,811,1,唐,知玄
181,960,1,北宋,知禮
182,768,1,唐,元堪
183,1292,1,元 日本,竺僊梵僊
184,669,1,唐,金剛智
185,862,1,五代十國,贍公
186,862,1,五代十國,繼榮
187,1024,1,北宋 遼,非濁
188,1091,1,南宋,信悟
189,1626,1,清,信菴
190,1007,1,北宋,契嵩
191,593,1,唐,彥悰
192,1149,1,南宋,善月
193,1592,1,明 清,洪如
194,1605,1,清,紀蔭
195,980,1,北宋,重顯
196,1545,1,明,乘旹
197,1627,1,明 清,原澂
198,1528,1,明,員珂
199,1065,1,宋,師遠
200,1091,1,南宋,師儼
201,1602,1,明 清,徐昌治
202,1609,1,明 清,悟卓
203,1115,1,南宋,悟明
204,1303,1,元 明,時蔚
205,1645,1,清,書玉
206,1611,1,清,耕月海屋
207,746,1,唐,海雲
208,1543,1,明,真可
209,1621,1,明 清,真在
210,1531,1,明,真界
211,1558,1,明,真貴
212,1634,1,明 清,真雄
213,1794,1,清,真嵩
214,1596,1,清,真樸
215,499,1,陳,真諦
216,1537,1,明,真覺
217,1660,1,清,真續
218,1296,1,明,祖光
219,1280,1,元,祖銘
220,1089,1,南宋,祖慶
221,1234,1,元,祖誾
222,1292,1,元 明,無盡祖鐙
223,601,1,唐,神泰
224,721,1,唐,神清
225,1638,1,明 清,別牧純
226,1602,1,明 清,行乾
227,632,1,唐,窺基
228,1580,1,明 清,寂光
229,1611,1,清,寂空
230,1255,1,南宋 元,行端
231,1132,1,南宋,崇岳
232,1304,1,元 明,崇裕
233,1042,1,北宋,從義
234,1202,1,南宋 元,惟一
235,1027,1,北宋,惟白
236,1286,1,元,惟則
237,753,1,唐,梁肅
238,1296,1,元 明,梵琦
239,1274,1,南宋 日本,正澄
240,1262,1,南宋 元,清茂
241,1292,1,元,清欲
242,1091,1,南宋,清萃
243,1243,1,元,淨伏
244,1339,1,明,淨戒
245,1602,1,明 清,淨柱
246,1427,1,明,淨倫
247,1615,1,明 清,淨挺
248,1606,1,清,淨符
249,1610,1,明 清,淨訥
250,1011,1,北宋,淨源
251,683,1,唐,淨覺
252,1077,1,北宋 南宋,紹隆
253,1178,1,南宋,紹曇
254,1560,1,明,廣承
255,1030,1,北宋,處元
256,1016,1,北宋,處咸
257,1025,1,北宋,處凝
258,1011,1,北宋,處謙
259,1649,1,清,通旭
260,1599,1,明 清,通門
261,1546,1,明,若惺通炯
262,1593,1,明 清,通容
263,1701,1,清,通理
264,1614,1,明 清,通琇
265,1608,1,明 清,通際
266,1565,1,明,通潤
267,1610,1,明 清,通醉
268,1602,1,明 清,陶明潛
269,529,1,印度,勝友
270,651,1,新羅,勝莊
271,1740,1,清,彭紹升
272,746,1,唐,慧果
273,1079,1,南宋,九頂慧泉
274,643,1,唐,慧英
275,334,1,東晉,慧遠
276,1077,1,南宋,普紹
277,1347,1,元 明,普莊
278,1002,1,南宋 元,普瑞
279,1661,1,清,普潤
280,1179,1,南宋,普濟
281,1393,1,明,景隆
282,1296,1,明,景瓛
283,1035,1,北宋,智本
284,1599,1,明 清,智旭
285,678,1,唐,智周
286,681,1,唐,智昇
287,605,1,唐,智威
288,567,1,唐,智首
289,1617,1,清,智海
290,1637,1,清,智祥
291,1347,1,明,智勝
292,1629,1,明 清,智沄
293,976,1,北宋,智圓
294,518,1,陳,智愷
295,1347,1,明,智粵
296,813,1,唐,智慧輪
297,539,1,隋,智顗
298,602,1,唐,智儼
299,711,1,唐,湛然
300,529,1,印度,無著
301,1614,1,清,雪幢發慧
302,1079,1,南宋,善果
303,1074,1,北宋 南宋,善悟
304,1414,1,明,善堅
305,637,1,唐,善無畏
306,1152,1,南宋,善開
307,459,1,北魏,菩提流支
308,572,1,唐,菩提流志
309,369,1,南梁,菩提達磨
310,1612,1,清,超永
311,1614,1,明 清,超見
312,1609,1,清,超宗
313,1600,1,清,超直
314,1593,1,清,超溟
315,1631,1,明 清,超遠
316,1634,1,明 清,開詗
317,1242,1,南宋 元,雲岫
318,1614,1,清,朗空順
319,1535,1,明,袾宏
320,1562,1,明,傳如
321,1256,1,元,圓至
322,1571,1,明 清,圓信
323,1575,1,明,圓修
