id,birthY,gender,nationality,label
1,1599,1,清,𧧌震
2,1639,1,清,鑑堂一
6,1729,1,清,了貞
10,1630,1,明 清,上思
14,1564,1,明,大惠
16,1576,1,明,大壑
17,1593,1,明 清,大璸
32,1637,1,明 清,今辨
33,1615,1,明 清,今釋
35,1576,1,明,元來
37,1578,1,明 清,鼓山元賢
39,1639,1,清,幻敏
49,1487,1,明,方澤
50,1611,1,清,普悅方醒
53,1569,1,明,古德
54,1663,1,清,巨翔
57,1592,1,清,弘裕
58,1605,1,明 清,弘儲
59,1599,1,明 清,弘璧
60,1630,1,明 清,弘瀚
61,1612,1,明 清,弘贊
64,1555,1,明,本智
65,1404,1,明,本瑞   
66,1600,1,明 清,正明
67,1549,1,明,正傳
68,1545,1,明,正誨
71,1564,1,明,大會永海
76,1610,1,明 清,德申
79,1632,1,清,全威
83,1425,1,明,如巹
84,1619,1,清,善一如純
85,1537,1,明,如惺
86,1541,1,明,如馨
90,1618,1,明 清,成時
92,1611,1,明 清,行元
94,1615,1,明 清,自融
95,1611,1,明 清,行舟
97,1600,1,明 清,行省
98,1620,1,明 清,行悅
100,1593,1,清,行敏
101,1593,1,清,行盛
102,1614,1,明 清,行森
103,1628,1,明 清,行策
107,1621,1,清,無諍行謙
108,1605,1,清,行韜
128,1591,1,明,周理
144,1592,1,清,良照
145,1562,1,明,性祇
146,1603,1,清,性胤
147,1671,1,清,性音
148,1693,1,清,性起
149,1661,1,清,性統
150,1639,1,清,性鉅
152,1615,1,清,性磊
153,1611,1,明 清,性聰
155,1561,1,明,明凡
157,1588,1,明,明河
159,1631,1,清,明喜
160,1639,1,清,明滿
166,1634,1,清,法秀
189,1626,1,清,信菴
193,1592,1,明 清,洪如
194,1605,1,清,紀蔭
196,1545,1,明,乘旹
197,1627,1,明 清,原澂
198,1528,1,明,員珂
201,1602,1,明 清,徐昌治
202,1609,1,明 清,悟卓
205,1645,1,清,書玉
206,1611,1,清,耕月海屋
208,1543,1,明,真可
209,1621,1,明 清,真在
210,1531,1,明,真界
211,1558,1,明,真貴
212,1634,1,明 清,真雄
213,1794,1,清,真嵩
214,1596,1,清,真樸
216,1537,1,明,真覺
217,1660,1,清,真續
225,1638,1,明 清,別牧純
226,1602,1,明 清,行乾
228,1580,1,明 清,寂光
229,1611,1,清,寂空
245,1602,1,明 清,淨柱
246,1427,1,明,淨倫
247,1615,1,明 清,淨挺
248,1606,1,清,淨符
249,1610,1,明 清,淨訥
254,1560,1,明,廣承
259,1649,1,清,通旭
260,1599,1,明 清,通門
261,1546,1,明,若惺通炯
262,1593,1,明 清,通容
263,1701,1,清,通理
264,1614,1,明 清,通琇
265,1608,1,明 清,通際
266,1565,1,明,通潤
267,1610,1,明 清,通醉
268,1602,1,明 清,陶明潛
271,1740,1,清,彭紹升
279,1661,1,清,普潤
284,1599,1,明 清,智旭
289,1617,1,清,智海
290,1637,1,清,智祥
292,1629,1,明 清,智沄
301,1614,1,清,雪幢發慧
304,1414,1,明,善堅
310,1612,1,清,超永
311,1614,1,明 清,超見
312,1609,1,清,超宗
313,1600,1,清,超直
314,1593,1,清,超溟
315,1631,1,明 清,超遠
316,1634,1,明 清,開詗
318,1614,1,清,朗空順
319,1535,1,明,袾宏
320,1562,1,明,傳如
322,1571,1,明 清,圓信
323,1575,1,明,圓修
342,1593,1,明 清,葛䵻
345,1614,1,明 清,印正
349,1596,1,明 清,道忞
358,1616,1,明 清,道澄
359,1615,1,明 清,道霈
360,1600,1,明 清,道獨
361,1579,1,清,道璞
362,1487,1,明,道濟
366,1731,1,清,達珍
367,1608,1,明 清,達尊
368,1608,1,清,達謙
372,1661,1,清,斗南暐
375,1634,1,明 清,徹御
376,1638,1,清,福月
377,1546,1,明,福善
380,1683,1,清,際源
381,1554,1,明,廣伸
383,1582,1,明,廣真
385,1628,1,明 清,德玉
387,1621,1,明 清,德宗
391,1634,1,明 清,德基
392,1546,1,明,德清
395,1599,1,清,德敷
396,1513,1,明,德寶
403,1626,1,明 清,慧海
411,1603,1,明 清,慧機
416,1599,1,清,屾峰憲
422,1632,1,明 清,機如
423,1619,1,清,石源機雲
424,1614,1,明 清,燈來
425,1625,1,明 清,燈映
426,1603,1,清,燈顯
428,1600,1,清,濟時
429,1604,1,明 清,濟能
430,1577,1,明,釋禪
431,1592,1,明 清,隆琦
432,1593,1,清,聶先
433,1547,1,明,鎮澄
439,1614,1,清,實性
448,1588,1,明 清,讀徹
449,1601,1,明 清,讀體
450,1605,1,清,顯裕
451,1596,1,清,顯權
455,1579,1,明 清,觀衡
458,1593,1,清,李中梓
459,1593,1,清,行中
460,1593,1,清,法觀行會
461,1593,1,清,行淨
463,1593,1,清,古碧行湛
464,1593,1,清,行朗
465,1593,1,清,嚴栻
466,1593,1,清,規權
469,1593,1,清,穎正行端
470,1593,1,清,劍龍行志
472,1593,1,清,又度行舟
475,1604,1,清,葉紹顒
476,1593,1,清,如信
477,1593,1,清,行澗
478,1593,1,清,智經
479,1593,1,清,行鏡
481,1593,1,清,行蔭
482,1593,1,清,寂泰
484,1593,1,清,行備
497,1594,1,清,古鏡符
498,1594,1,清,曦崑玉
503,1594,1,清,化中慶
504,1594,1,清,大木訓
505,1594,1,清,斷疑果
509,1594,1,清,大歇芳
511,1594,1,清,古鑑彰
514,1594,1,清,爾初正
515,1594,1,清,覺天文
516,1594,1,清,瑞明震
517,1594,1,清,惟一宗
518,1594,1,清,卓庵嶽
521,1594,1,清,素嚴行淵
522,1593,1,清,紫巖行順
523,1594,1,清,介石登
524,1594,1,清,晦巖熹
525,1594,1,清,法海涯
527,1594,1,清,智菴寧
528,1594,1,清,松若昭
529,1594,1,清,箭機敏
532,1594,1,清,曇舸麟
533,1594,1,清,閒雲海
535,1594,1,清,自立惠
536,1594,1,清,明初復
537,1594,1,清,不惑慧
539,1594,1,清,午明旭
541,1594,1,清,愍生念
545,1594,1,清,永如齡
546,1594,1,清,廓堂遍
547,1594,1,清,潛輝銘
548,1594,1,清,若水由
549,1594,1,清,文裕衡
550,1594,1,清,衡世融
551,1594,1,清,野菴智
553,1594,1,清,相隱伊
555,1594,1,清,體圓足
556,1594,1,清,自謙讓
557,1596,1,清,電菴旭
558,1596,1,清,別機本清
559,1596,1,清,頑楫濟
560,1596,1,清,千潮溟
561,1596,1,清,上乘本宗
562,1596,1,清,大嶺本丕
565,1593,1,清,鐵舟行濟
566,1427,1,明,曉堂明
569,1427,1,明,普門智
570,1482,1,明,慧林
571,1593,1,清,讓菴行潛
572,1523,1,明,如通
573,1482,1,明,明慧
574,1427,1,明,月潭清
576,1596,1,清,犀照本澈
577,1427,1,明,海藏深
579,1427,1,明,大宗宣
595,1516,1,明,默菴慧聞
606,1573,1,明,法藏
608,1547,1,明,默菴定
610,1542,1,明,正圓
612,1542,1,明,大菴
613,1404,1,明,大休實
614,1567,1,明,密雲圓悟
615,1567,1,明,興慈
616,1592,1,明,興壽
617,1603,1,清,弗也莖
618,1603,1,清,桂輪常
620,1567,1,明,覺田
621,1582,1,清,岫巖燈燎
622,1567,1,明,寶燈
624,1582,1,清,雲巖燈古
631,1572,1,明,黃端伯
632,1582,1,清,覺樹燈世
633,1639,1,清,性應
639,1593,1,明,慧山
640,1548,1,明,慧經
641,1491,1,明,性虛
642,1603,1,清,寂慧
644,1585,1,明,無為如學
651,1639,1,清,性印
652,1603,1,明 清,行彌
658,1571,1,清,大藏道足
659,1573,1,明,休塵
660,1603,1,清,性在
661,1588,1,明,次齋智季
670,1573,1,清,彭州寶池
673,1575,1,明,大林偉
680,1639,1,清,明福
681,1575,1,明,振宗承
682,1639,1,清,明訓
686,1593,1,明,了凡剛
687,1616,1,明 清,性願
691,1567,1,明,黃介子
692,1571,1,明,山鳴弘璐
693,1600,1,明 清,超宣
694,1615,1,明 清,如沛
698,1593,1,清,行定
699,1575,1,明,同雲萍
700,1639,1,清,明微
701,1599,1,清,鄰哲淨彥
703,1639,1,清,明燦
709,1629,1,明 清,明凈
711,1623,1,明 清,明晟
715,1584,1,清,起元淨生
716,1584,1,清,一念淨緣
717,1592,1,明,玄生海珠
718,1634,1,清,明謙
719,1613,1,清,良冶
720,1648,1,清,明洽
723,1584,1,清,如庵平
724,1605,1,明 清,超弘
725,1611,1,清,借山映
726,1610,1,明 清,戒顯
727,1616,1,明 清,行觀
728,1617,1,明 清,大依
730,1599,1,清,道曉悅
731,1659,1,清,實任
732,1652,1,清,明標
733,1612,1,清,嬾若真曇
734,1651,1,清,實玉
735,1624,1,明 清,行琈
736,1593,1,清,蒲庵大健
737,1624,1,明 清,行珍
738,1682,1,清,實存
739,1676,1,清,實聖
742,1659,1,清,際勤
744,1693,1,清,際愚
745,1689,1,清,際傳
748,1593,1,清,御之大龍
749,1651,1,清,際郁
750,1651,1,清,際位
751,1580,1,明 清,擴南宏
753,1621,1,明 清,湛慈傳謜
754,1690,1,清,際萱
757,1580,1,明 清,淵充滋
758,1580,1,明 清,圓印海
759,1580,1,明 清,無壞法
760,1580,1,明 清,淨心玉
761,1592,1,清,怡生弘喜
763,1580,1,明 清,聽石敏
764,1593,1,清,報恩大麟
766,1593,1,清,蒲澗大韶
767,1593,1,清,明招大補
768,1593,1,清,雙峰大存
