id,birthY,gender,nationality,label
3,1247,1,南宋 元 日本,一寧
4,1352,1,明,一如
7,1118,1,南宋,了悟
8,1077,1,北宋 南宋,了然
9,1149,1,明,了圓
12,1334,1,元 明,大佑
15,1284,1,元,大訢
20,1201,1,南宋,大觀
21,1226,1,南宋 元 日本,祖元
22,1089,1,南宋,子文
23,1320,1,元,子成
24,1066,1,北宋,子淳
25,965,1,北宋,長水子璿
26,1018,1,宋,才良
28,1091,1,南宋,中翼
30,992,1,北宋,仁岳
31,992,1,北宋,仁勇
34,1080,1,南宋,介諶
36,1149,1,南宋 元,元粹
40,1327,1,明,心泰
43,1241,1,南宋 元,文才
44,885,1,五代十國,文益
45,1319,1,元,文康
46,1345,1,明,文琇
47,1261,1,南宋 元,文寶
48,1276,1,元,文藻
51,1223,1,南宋 元,可度
52,1092,1,北宋 南宋,可觀
62,982,1,北宋,本如
63,1276,1,元,本真
69,1091,1,南宋,正覺
70,905,1,五代十國 北宋,延壽
72,1275,1,元,竺源水盛
78,1265,1,元,先睹
81,1320,1,元 明,如玘
82,990,1,北宋,如吉
87,1103,1,南宋,鳳山守詮
88,1072,1,北宋 南宋,守遂
91,1021,1,北宋,有嚴
93,1276,1,元,自成
96,1166,1,金 元,行秀
99,1091,1,南宋,行從
104,919,1,北宋,行靖
106,1220,1,元,行彌
110,1320,1,明,克勤
113,1201,1,南宋,天台妙倫
114,1242,1,元,妙恩
115,1219,1,元,妙高
116,1089,1,南宋,宗杲   
117,1247,1,元,希陵
119,1311,1,明,希顏
121,988,1,北宋,李遵勗
123,1259,1,元,沙囉巴
124,1276,1,元,良圭
126,1337,1,元 明,忻悟
129,1027,1,北宋,宗永
130,1149,1,南宋,宗印
131,1318,1,明,宗泐
133,1376,1,明,宗淨
134,1121,1,南宋,宗壽
135,1091,1,南宋,宗榮
136,1151,1,南宋,宗曉
137,1055,1,北宋,宗頤
138,1309,1,明,宗黼
140,990,1,北宋,尚賢
141,1291,1,明,居頂
142,1164,1,南宋,居簡
143,1282,1,元,念常
151,1265,1,元,性澄
154,1235,1,元,拔合思巴
156,1263,1,元,明本
165,1089,1,南宋,法宏
167,1284,1,元,法林
168,1022,1,北宋,法泉
169,1091,1,南宋,大洪法為
170,1102,1,南宋,瑞巖法恭
172,1119,1,南宋,法登
174,1185,1,南宋,法照
175,1018,1,北宋,法演
176,1091,1,南宋,法潤
180,811,1,唐,知玄
181,960,1,北宋,知禮
183,1292,1,元 日本,竺僊梵僊
185,862,1,五代十國,贍公
186,862,1,五代十國,繼榮
187,1024,1,北宋 遼,非濁
188,1091,1,南宋,信悟
190,1007,1,北宋,契嵩
192,1149,1,南宋,善月
195,980,1,北宋,重顯
199,1065,1,宋,師遠
200,1091,1,南宋,師儼
203,1115,1,南宋,悟明
204,1303,1,元 明,時蔚
218,1296,1,明,祖光
219,1280,1,元,祖銘
220,1089,1,南宋,祖慶
221,1234,1,元,祖誾
222,1292,1,元 明,無盡祖鐙
230,1255,1,南宋 元,行端
231,1132,1,南宋,崇岳
232,1304,1,元 明,崇裕
233,1042,1,北宋,從義
234,1202,1,南宋 元,惟一
235,1027,1,北宋,惟白
236,1286,1,元,惟則
238,1296,1,元 明,梵琦
239,1274,1,南宋 日本,正澄
240,1262,1,南宋 元,清茂
241,1292,1,元,清欲
242,1091,1,南宋,清萃
243,1243,1,元,淨伏
244,1339,1,明,淨戒
250,1011,1,北宋,淨源
252,1077,1,北宋 南宋,紹隆
253,1178,1,南宋,紹曇
255,1030,1,北宋,處元
256,1016,1,北宋,處咸
257,1025,1,北宋,處凝
258,1011,1,北宋,處謙
273,1079,1,南宋,九頂慧泉
276,1077,1,南宋,普紹
277,1347,1,元 明,普莊
278,1002,1,南宋 元,普瑞
280,1179,1,南宋,普濟
281,1393,1,明,景隆
282,1296,1,明,景瓛
283,1035,1,北宋,智本
291,1347,1,明,智勝
293,976,1,北宋,智圓
295,1347,1,明,智粵
296,813,1,唐,智慧輪
302,1079,1,南宋,善果
303,1074,1,北宋 南宋,善悟
306,1152,1,南宋,善開
317,1242,1,南宋 元,雲岫
321,1256,1,元,圓至
324,1063,1,北宋 南宋,克勤
329,986,1,北宋,楚圓
330,974,1,北宋,楊億
331,950,1,北宋,源清
332,1055,1,北宋,義天
334,1088,1,南宋,義初
335,1032,1,北宋,義青
338,1163,1,宋,義遠
339,1121,1,南宋,義銛
344,1056,1,遼,道㲀
347,1089,1,北宋 南宋,道行
348,1169,1,南宋,道沖
351,1335,1,明,道衍
352,891,1,北宋,道原
353,1347,1,明,道哲
355,1043,1,北宋,道楷
356,1309,1,明,道瑄
363,1093,1,南宋,道謙
365,1155,1,南宋,道巖
378,1080,1,南宋,與咸
379,1276,1,元,蒙潤
384,840,1,北宋,廣輝
386,1167,1,南宋,德秀
388,1088,1,南宋,德初
389,1071,1,北宋 南宋,德洪
390,1237,1,元,德珍
393,1347,1,明,德琇
394,1275,1,元,德輝
397,1078,1,北宋 南宋,慶預
405,1347,1,明,慧啟
407,1183,1,南宋,慧開
408,1189,1,南宋,慧雲
410,1304,1,明,慧曇
412,840,1,五代十國,慧霞
414,923,1,北宋,澄彧
417,1025,1,北宋,曉月
418,1128,1,南宋,曉瑩
420,1347,1,明,曇頓
421,1285,1,元 明,曇噩
427,964,1,北宋,遵式
434,1092,1,南宋,守賾
437,1077,1,南宋,懷深
438,919,1,北宋 五代十國,贊寧
440,1129,1,南宋,寶曇
441,1012,1,北宋,繼忠
442,1089,1,南宋,蘊聞
443,1286,1,元 明,覺岸
444,1213,1,南宋 日本,道隆
454,1311,1,元 明,觀通
456,1088,1,南宋,法雲
462,1093,1,北宋 南宋,釋道元
467,1259,1,元,著栗赤
468,1259,1,元,剌溫卜
471,811,1,唐,紹明
526,1143,1,南宋,道生
567,1034,1,北宋,楊傑
568,1036,1,北宋,蘇軾
575,1381,1,明,秋月以澄
578,1304,1,元,大圭
585,1230,1,南宋 蒙古,契祖
586,813,1,唐,楚南
589,846,1,五代十國 北宋,省僜
591,1017,1,北宋,薦福道英
592,1017,1,北宋,子琦
593,1360,1,明,正映
596,831,1,唐,景先
597,1230,1,元,伯福
598,878,1,北宋,清豁
600,1381,1,明,太虛圓
602,855,1,五代十國,月輪
603,943,1,北宋,緣觀
605,810,1,唐,李忱
607,805,1,唐,善會
609,822,1,唐,義存
611,1304,1,明,天然慧
619,864,1,五代十國,文偃
623,1025,1,北宋,守端
625,1381,1,明,中峰素
626,1039,1,北宋,本觀
627,986,1,北宋,惟慎
628,886,1,五代十國,王延彬
629,1025,1,北宋,惟鳳 
630,910,1,五代十國,從允 
634,993,1,南宋,文宥
635,1089,1,南宋,慶老
636,1039,1,北宋,法超
637,1025,1,北宋,志添 
638,993,1,北宋,有評
643,846,1,北宋,法騫
653,846,1,五代十國,從展
655,885,1,五代十國,道希
657,854,1,五代十國,慧稜
662,860,1,五代十國,鼓山神晏
663,854,1,五代十國,道匡
664,916,1,北宋,慧悟
665,876,1,五代十國,契如
666,850,1,五代十國,道溥
667,846,1,五代十國,無逸
668,965,1,北宋,蘊聰
669,993,1,北宋,義懷
671,1009,1,北宋,可真
672,1002,1,北宋,慧南
674,1025,1,北宋,常總
675,1039,1,北宋,志超
676,917,1,北宋,法燈
678,1206,1,南宋 元,可湘
679,1196,1,南宋,元智
683,1258,1,元,如炤
684,1258,1,南宋 元,道符
685,1281,1,元,廣漩
688,1294,1,明,巽中道謙
690,1353,1,明,道成
702,1036,1,北宋,從諫慈辯
705,991,1,北宋,法遠
706,1031,1,北宋,蔣之奇
707,1264,1,元,崇會
710,1021,1,北宋,曉舜
712,834,1,唐 五代十國,法真
713,1044,1,北宋,從悅
714,1011,1,北宋,元淨
721,887,1,五代十國,宋齊丘
746,910,1,北宋,玄應
747,965,1,宋,棲隱自然
752,992,1,北宋,方會
785,938,1,北宋,洪敏
786,983,1,北宋,慧覺
787,1011,1,北宋,承遷
788,1011,1,北宋,明覃
793,922,1,北宋,懷祥
801,1290,1,元,景巖
805,1304,1,元,明教
831,1011,1,北宋,海達
835,1177,1,南宋,妙堪
836,1165,1,南宋,覺通
858,1284,1,元,元長
860,1002,1,北宋,梵臻
875,1071,1,北宋 南宋,思慧
881,943,1,北宋,警玄
889,1103,1,南宋,曇華
891,1118,1,北宋 南宋,咸傑
893,1136,1,南宋,祖先
894,1178,1,南宋,師範   
895,1216,1,南宋 元,祖欽
896,1238,1,南宋 元,原妙
898,1333,1,明,普持  
901,1372,1,明,慧旵
903,1355,1,明,普慈
904,1379,1,明,明瑄
929,817,1,唐,常遇      
930,1077,1,南宋,靈隱道樞
933,1004,1,北宋,富弼
942,830,1,唐,存獎
943,863,1,五代十國,慧顒
944,897,1,北宋 五代十國,延沼
945,926,1,北宋,省念
946,946,1,北宋,善昭
962,1090,1,北宋 南宋,李彌遜
965,832,1,五代十國,貫休
1000,1056,1,遼,性嘉
1100,885,1,五代十國,李存勗
1119,1088,1,南宋,清了
1130,860,1,唐 五代十國,齊己
1145,1310,1,元 明,宋濂
1147,1092,1,南宋,元素
1148,1119,1,南宋,從廓
1150,1215,1,南宋 元,悟光
1162,993,1,宋,真戒
1163,1121,1,南宋,德光
1168,1022,1,北宋,王安石
1169,1025,1,北宋,克文
1171,1010,1,北宋,懷璉
1172,1092,1,北宋 南宋,張九成
1173,1256,1,元,德海
1174,1222,1,南宋 元,如珙
1175,1244,1,元,德明
1180,828,1,唐,呂洞賓
