CreditScore,JobTenure,EmploymentStatus,TotalLiabilities,PaymentHistory,TotalAssets,LoanAmount,BankruptcyHistory,SavingsAccountBalance,InterestRate,DebtToIncomeRatio,HomeOwnershipStatus,CheckingAccountBalance,AnnualIncome,CreditCardUtilizationRate,NumberOfCreditInquiries,EducationLevel,MaritalStatus,NumberOfDependents,PreviousLoanDefaults,MonthlyDebtPayments,Age,LengthOfCreditHistory,UtilityBillsPaymentHistory,NetWorth,NumberOfOpenCreditLines,LoanApproved,LoanDuration,LoanPurpose
764,14,Unemployed,21836,11,99362,12676.48,0,1481,0.0742727095722262,0.3415403811427767,Other,2785,39160.0,0.297652409941891,5,Bachelor,Widowed,0,0,716,42,19,0.1358437872405479,48074,1,1,12.0,Other
606,14,Employed,44150,26,103835,20430.0,1,2116,0.2399749367003663,0.5619673013205035,Other,3648,51897.600000000006,0.643037747774574,6,Master,Single,0,0,519,50,25,0.59711174454257,47092,11,0,3.6,Other
586,22,Self-Employed,14171,14,186416,15629.44,0,5896,0.2355556078555135,0.0742191581314694,Own,2927,59724.0,0.9936532383457822,4,Master,Widowed,4,0,415,60,5,0.549123186278752,44259,8,1,3.0,Education
601,17,Employed,29073,25,87379,20977.0,1,8070,0.1281235166761389,0.10506408543226,Rent,2492,61285.600000000006,0.6278464775126973,0,Doctorate,Divorced,0,1,316,47,22,0.8624277208739314,5552,10,0,2.7,Other
331,22,Employed,63486,9,69933,19844.0,0,3733,0.1935331772870677,0.8751965720168178,Mortgage,2733,31268.800000000003,0.7316884250938129,6,Bachelor,Married,0,0,557,46,26,0.1857931172083345,34772,10,0,1.8,Home
573,7,Unemployed,51917,22,54305,12185.6,0,4864,0.256531256547356,0.7868283809625327,Rent,2299,56269.0,0.7223414001716686,7,Master,Widowed,4,0,493,34,6,0.5597228056755121,74476,5,1,18.0,Auto
595,9,Unemployed,30273,14,119506,24627.0,0,-1265,0.1961694721111323,0.8716266353523043,Mortgage,1420,35264.0,0.86759376593683,5,Doctorate,Widowed,2,0,454,36,13,0.4101900577912603,88530,13,0,22.5,Debt Consolidation
367,10,Self-Employed,56706,13,152254,15172.0,0,9316,0.2401766587878254,0.1080534219702371,Other,3415,51964.0,0.0536567578720706,2,Bachelor,Divorced,4,0,607,36,14,0.604012328558505,-15760,7,0,17.1,Education
364,4,Self-Employed,71170,0,140553,17671.0,1,570,0.0974594118326212,0.6057230259153192,Rent,3660,22704.800000000003,0.7648095014467966,7,Doctorate,Single,2,0,664,49,19,0.5644487681233143,41532,2,0,0.9,Other
702,3,Employed,35449,11,114654,16259.2,0,5107,0.0708351869933849,0.7499830101972186,Rent,2839,77312.0,0.2506118406437837,9,Associate,Married,0,0,236,35,11,0.6692315188086114,53012,10,1,26.0,Education
634,24,Employed,24659,23,70519,17240.0,0,8271,0.1106049056728126,0.6932757500945199,Mortgage,2311,32348.0,0.9859060774763394,8,Master,Married,0,0,655,48,4,0.4996419976365598,24091,5,0,11.7,Other
501,2,Unemployed,8465,10,110782,12525.440000000002,0,8129,0.1131631982869397,0.2029165846904627,Mortgage,2999,65051.0,0.5120478099162864,2,Master,Married,0,0,553,51,10,0.8062441316002422,-22129,9,1,8.0,Auto
755,11,Unemployed,12453,27,50459,11858.56,0,4876,0.2491458100886363,0.1489458088159813,Other,1916,38216.0,0.3070049591010128,9,Doctorate,Married,3,0,808,44,3,0.8630144298784654,82823,10,1,20.0,Other
575,18,Self-Employed,59927,5,66313,17581.0,0,3232,0.1227845673476911,0.3212842392539228,Other,3342,73520.8,0.8924390129201054,6,Master,Divorced,0,0,624,45,15,0.6751951245848781,37523,14,0,12.6,Other
600,19,Employed,24226,24,190468,21918.0,0,1646,0.2146495232004513,0.6254055436691275,Rent,1883,46381.600000000006,0.2114078392538957,5,Doctorate,Divorced,4,0,514,50,25,0.8128615576758819,1727,3,0,1.8,Home
532,18,Unemployed,54804,0,104264,13150.080000000002,0,3063,0.2158504913215243,0.5848805512274954,Rent,2913,75622.0,0.9542557959191724,0,High School,Divorced,2,0,155,53,15,0.6184450872362941,35260,0,1,9.0,Other
323,3,Employed,28497,15,1125,26179.0,0,5420,0.2063655116089852,0.1151238348851553,Own,3184,52540.0,0.9528689414040435,9,High School,Widowed,2,0,97,42,2,0.1066596654958,22174,9,0,10.8,Home
792,9,Unemployed,40785,17,77496,12587.520000000002,0,5203,0.2262836241415316,0.197546117920911,Mortgage,2919,88318.0,0.5268067339808874,2,Bachelor,Married,4,0,864,58,6,0.6717390037078466,55591,5,1,5.0,Auto
594,8,Unemployed,61498,5,156348,21403.0,0,915,0.1960335059124186,0.0693742387188198,Own,1618,33978.4,0.4514325030087924,7,Doctorate,Divorced,0,0,330,46,13,0.2301583839942188,33819,14,0,14.4,Other
