CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,MaritalStatus,NumberOfDependents,EducationLevel,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,InterestRate,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,InvestmentAccountBalance,RetirementAccountBalance,EmergencyFundBalance,TotalAssets,TotalLiabilities,NetWorth,LengthOfCreditHistory,MortgageBalance,RentPayments,AutoLoanBalance,PersonalLoanBalance,StudentLoanBalance,UtilityBillsPaymentHistory,HealthInsuranceStatus,LifeInsuranceStatus,CarInsuranceStatus,HomeInsuranceStatus,OtherInsurancePolicies,EmployerType,JobTenure,MonthlySavings,AnnualBonuses,AnnualExpenses,MonthlyHousingCosts,MonthlyTransportationCosts,MonthlyFoodCosts,MonthlyHealthcareCosts,MonthlyEntertainmentCosts,LoanApproved
764,39160.0,12676.48,12.0,42,Unemployed,Widowed,0,Bachelor,Other,716,0.297652409941891,1,5,0.3415403811427767,0,Other,0,0.0742727095722262,11,1481,2785,11948,47139,1133,99362,21836,48074,19,120023,1089,11665.933547680734,2017,19869.202641412743,0.1358437872405479,Insured,Insured,Uninsured,Uninsured,4,Private,14,-115,6264,23875,1293,258,363,126,28,1
606,51897.600000000006,20430.0,3.6,50,Employed,Single,0,Master,Other,519,0.643037747774574,11,6,0.5619673013205035,1,Other,0,0.2399749367003663,26,2116,3648,11860,32828,4927,103835,44150,47092,25,139201,829,4314.0,4140,8888.0,0.59711174454257,Insured,Uninsured,Uninsured,Uninsured,0,Other,14,348,3514,10836,1025,360,415,146,89,0
586,59724.0,15629.44,3.0,60,Self-Employed,Widowed,4,Master,Own,415,0.9936532383457822,8,4,0.0742191581314694,0,Education,0,0.2355556078555135,14,5896,2927,15886,53900,4575,186416,14171,44259,5,231980,763,5639.249234114579,2553,8681.22917606104,0.549123186278752,Insured,Insured,Uninsured,Uninsured,2,Self-Employed,22,131,7545,28885,886,347,380,214,22,1
601,61285.600000000006,20977.0,2.7,47,Employed,Divorced,0,Doctorate,Rent,316,0.6278464775126973,10,0,0.10506408543226,1,Other,1,0.1281235166761389,25,8070,2492,15576,31689,3050,87379,29073,5552,22,71023,719,3480.0,3685,33440.0,0.8624277208739314,Insured,Insured,Insured,Insured,1,Private,17,407,4458,37060,1517,329,-1,180,132,0
331,31268.800000000003,19844.0,1.8,46,Employed,Married,0,Bachelor,Mortgage,557,0.7316884250938129,10,6,0.8751965720168178,0,Home,0,0.1935331772870677,9,3733,2733,8632,41398,2216,69933,63486,34772,26,160728,1002,15145.0,7293,27597.0,0.1857931172083345,Insured,Uninsured,Uninsured,Insured,0,Private,22,251,3441,27354,716,296,768,348,106,0
573,56269.0,12185.6,18.0,34,Unemployed,Widowed,4,Master,Rent,493,0.7223414001716686,5,7,0.7868283809625327,0,Auto,0,0.256531256547356,22,4864,2299,10862,50979,4756,54305,51917,74476,6,80573,882,7472.607076101936,7586,21380.80723796993,0.5597228056755121,Insured,Insured,Insured,Uninsured,3,Private,7,813,290,31136,1466,158,292,132,103,1
595,35264.0,24627.0,22.5,36,Unemployed,Widowed,2,Doctorate,Mortgage,454,0.86759376593683,13,5,0.8716266353523043,0,Debt Consolidation,0,0.1961694721111323,14,-1265,1420,5389,55490,3216,119506,30273,88530,13,62458,878,1474.0,7107,9696.0,0.4101900577912603,Insured,Uninsured,Insured,Uninsured,0,Private,9,604,3696,23618,514,595,192,35,130,0
367,51964.0,15172.0,17.1,36,Self-Employed,Divorced,4,Bachelor,Other,607,0.0536567578720706,7,2,0.1080534219702371,0,Education,0,0.2401766587878254,13,9316,3415,13845,40419,2954,152254,56706,-15760,14,180702,897,5809.0,4966,19683.0,0.604012328558505,Uninsured,Insured,Insured,Insured,4,Private,10,177,7510,44324,1018,186,583,98,93,0
364,22704.800000000003,17671.0,0.9,49,Self-Employed,Single,2,Doctorate,Rent,664,0.7648095014467966,2,7,0.6057230259153192,1,Other,0,0.0974594118326212,0,570,3660,9171,27639,3575,140553,71170,41532,19,188982,1158,5337.0,1477,25422.0,0.5644487681233143,Insured,Uninsured,Insured,Uninsured,2,Public,4,-100,8414,31824,1256,455,160,86,165,0
702,77312.0,16259.2,26.0,35,Employed,Married,0,Associate,Rent,236,0.2506118406437837,10,9,0.7499830101972186,0,Education,0,0.0708351869933849,11,5107,2839,2858,-607,2185,114654,35449,53012,11,162824,1297,5343.594891931144,3731,19072.81096044882,0.6692315188086114,Uninsured,Insured,Uninsured,Uninsured,1,Self-Employed,3,814,2675,47092,2199,94,393,316,12,1
634,32348.0,17240.0,11.7,48,Employed,Married,0,Master,Mortgage,655,0.9859060774763394,5,8,0.6932757500945199,0,Other,0,0.1106049056728126,23,8271,2311,19788,8119,3494,70519,24659,24091,4,173885,981,16258.0,4389,7208.0,0.4996419976365598,Insured,Insured,Uninsured,Insured,4,Other,24,140,1901,29038,1251,194,449,229,93,0
501,65051.0,12525.440000000002,8.0,51,Unemployed,Married,0,Master,Mortgage,553,0.5120478099162864,9,2,0.2029165846904627,0,Auto,0,0.1131631982869397,10,8129,2999,5326,46598,2316,110782,8465,-22129,10,185067,817,7189.741853046029,6426,10955.63424032532,0.8062441316002422,Insured,Insured,Insured,Insured,1,Private,2,589,7108,23145,779,329,704,223,66,1
755,38216.0,11858.56,20.0,44,Unemployed,Married,3,Doctorate,Other,808,0.3070049591010128,10,9,0.1489458088159813,0,Other,0,0.2491458100886363,27,4876,1916,7636,35123,4113,50459,12453,82823,3,176733,696,2432.189537605714,12661,20692.187366204987,0.8630144298784654,Insured,Insured,Uninsured,Insured,1,Other,11,-22,3893,32353,906,249,242,49,217,1
575,73520.8,17581.0,12.6,45,Self-Employed,Divorced,0,Master,Other,624,0.8924390129201054,14,6,0.3212842392539228,0,Other,0,0.1227845673476911,5,3232,3342,13810,49841,2489,66313,59927,37523,15,142427,1393,11334.0,7045,10886.0,0.6751951245848781,Insured,Uninsured,Uninsured,Insured,3,Other,18,557,3229,35336,502,252,517,32,108,0
600,46381.600000000006,21918.0,1.8,50,Employed,Divorced,4,Doctorate,Rent,514,0.2114078392538957,3,5,0.6254055436691275,0,Home,0,0.2146495232004513,24,1646,1883,7655,26615,2795,190468,24226,1727,25,194687,369,12130.0,6078,13334.0,0.8128615576758819,Uninsured,Uninsured,Insured,Uninsured,2,Other,19,618,9263,30173,1202,380,440,217,81,0
532,75622.0,13150.080000000002,9.0,53,Unemployed,Divorced,2,High School,Rent,155,0.9542557959191724,0,0,0.5848805512274954,0,Other,0,0.2158504913215243,0,3063,2913,4310,13135,1560,104264,54804,35260,15,158315,1280,9181.83523243976,5761,7234.707555188959,0.6184450872362941,Insured,Uninsured,Insured,Uninsured,4,Self-Employed,18,519,4316,34486,1750,182,603,203,64,1
323,52540.0,26179.0,10.8,42,Employed,Widowed,2,High School,Own,97,0.9528689414040435,9,9,0.1151238348851553,0,Home,0,0.2063655116089852,15,5420,3184,11039,24723,-457,1125,28497,22174,2,124771,1427,10243.0,4614,-1287.0,0.1066596654958,Insured,Uninsured,Uninsured,Insured,4,Private,3,355,10072,38622,448,275,505,282,69,0
792,88318.0,12587.520000000002,5.0,58,Unemployed,Married,4,Bachelor,Mortgage,864,0.5268067339808874,5,2,0.197546117920911,0,Auto,0,0.2262836241415316,17,5203,2919,9464,-86,6365,77496,40785,55591,6,150036,909,4689.845214176932,5621,10624.620826357012,0.6717390037078466,Insured,Insured,Insured,Uninsured,3,Other,9,144,4392,37652,620,183,294,262,123,1
594,33978.4,21403.0,14.4,46,Unemployed,Divorced,0,Doctorate,Own,330,0.4514325030087924,14,7,0.0693742387188198,0,Other,0,0.1960335059124186,5,915,1618,11034,21053,2857,156348,61498,33819,13,97820,1637,9949.0,8136,4367.0,0.2301583839942188,Insured,Uninsured,Insured,Uninsured,2,Public,8,96,7315,26746,611,501,446,252,130,0
686,42896.0,15340.0,25.2,28,Unemployed,Widowed,2,Associate,Rent,667,0.3124173804400376,3,5,0.365334618743624,0,Other,0,0.03894522828692,13,7248,182,10020,26065,2576,96280,76804,100117,5,168727,1115,15099.0,5845,12866.0,0.326706730358647,Insured,Insured,Uninsured,Uninsured,3,Private,7,235,6212,19559,1524,428,405,243,88,0
507,42820.0,9205.12,3.0,48,Self-Employed,Widowed,4,High School,Mortgage,409,0.115443689018285,4,1,0.7066874740829998,0,Other,0,0.2073968839964055,16,3009,1442,14845,30234,6639,2821,47285,77945,7,121604,591,9562.499601764996,4920,4581.001707899683,0.8824201080461508,Insured,Uninsured,Insured,Uninsured,2,Public,6,654,8845,45224,1302,303,523,261,100,1
387,32049.6,18495.0,0.9,48,Unemployed,Married,2,Doctorate,Mortgage,266,0.8056263528435875,5,9,0.4777345140567446,0,Other,1,0.2735924576006897,12,5087,3444,9758,54433,1894,74467,79463,141585,20,175631,1071,11924.0,4565,24323.0,0.1757592899625609,Uninsured,Insured,Insured,Insured,0,Public,4,257,7137,22326,908,166,378,267,120,0
560,45796.8,20616.0,25.2,34,Self-Employed,Single,1,High School,Mortgage,222,0.262689657779098,10,5,0.7785525332594729,0,Other,0,0.18971179987654,29,5346,2152,-4552,28877,6515,207173,49555,42798,5,191714,895,4917.0,3797,24915.0,0.7039168919434743,Uninsured,Uninsured,Uninsured,Insured,1,Self-Employed,12,1304,2688,23500,641,506,287,150,132,0
784,78985.0,11765.760000000002,25.0,32,Employed,Divorced,3,Master,Other,441,0.3158972178034891,4,8,0.7031651821700624,0,Auto,0,0.0601838010454814,19,3804,1522,9216,28495,2272,79599,93515,15432,4,123536,885,2033.469941276909,7950,24688.14210988161,0.2483718893567018,Uninsured,Uninsured,Insured,Insured,0,Private,0,560,3741,20703,1527,305,33,213,132,1
459,42822.4,22260.0,8.1,28,Self-Employed,Widowed,2,High School,Other,319,0.9115495558194509,13,2,0.8456052545128059,0,Auto,0,0.2526111974859997,28,9109,3648,10550,15466,4138,178526,59035,133271,5,152410,1214,5086.0,7054,23214.0,0.2573757615366768,Uninsured,Insured,Insured,Uninsured,1,Other,4,276,-428,11426,1909,178,472,54,62,0
570,62075.0,17102.72,15.0,52,Self-Employed,Divorced,4,Master,Other,776,0.0955883533840856,11,0,0.5191990051882945,0,Home,0,0.0945772009328846,2,6183,1454,19782,9353,6689,104908,50424,45118,5,96897,1126,8169.237917989623,5455,13740.205855927648,0.2229600353665951,Uninsured,Uninsured,Uninsured,Insured,1,Public,3,574,5282,26524,1332,205,590,77,59,1
