CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,MaritalStatus,NumberOfDependents,EducationLevel,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,InterestRate,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,NetWorth,LengthOfCreditHistory,UtilityBillsPaymentHistory,JobTenure,CorrectPrediction,LoanApproved
592,42651.0,18413.0,60.0,34,2,1,1,3,0,311,0.3814163086253963,0,1,0.0328292274924903,0,3,0,0.2044098120145221,19,1782,1586,8759,32135,10572,16,0.6971047671836139,6,1,0
454,47818.4,19108.0,4.5,45,0,2,2,0,1,383,0.896510778028364,0,6,0.9830896424461332,0,1,0,0.0760926405203959,10,2358,1076,76040,23980,-2802,3,0.4358180175357631,18,1,0
649,70940.0,11632.64,24.0,37,2,1,0,2,0,498,0.8713674736997723,7,7,0.7628769605123178,0,0,0,0.0299603174906374,25,6326,2347,95833,6331,80650,8,0.8708040272100754,7,1,1
613,47164.0,20289.0,72.0,31,0,2,2,1,2,563,0.2149944334642547,1,0,0.31049325212012,0,1,0,0.2248424788809645,27,1168,2837,16734,9543,7191,12,0.8830374073607418,5,1,0
641,100789.0,10082.0,48.0,65,0,2,1,0,1,602,0.2926678127063086,8,0,0.1404349459276735,1,3,0,0.1653157800661605,19,1748,3687,110612,17546,93066,8,0.7006724496899418,2,1,1
554,86659.0,35494.0,36.0,39,2,2,2,0,0,461,0.4266779238066843,3,2,0.3377404720747289,0,0,0,0.2667912908619009,27,3754,408,63737,56795,6942,19,0.7790973124637467,5,0,0
552,30432.0,40529.0,36.0,39,0,1,3,3,1,460,0.3078177638061333,0,0,0.3938664986835246,0,3,0,0.2407689601673951,26,1950,1311,82129,5988,76141,8,0.9564137730378364,5,1,0
599,49920.0,37613.0,48.0,39,0,1,1,3,2,227,0.2860223543155309,5,5,0.380522118818587,0,3,1,0.2162740109028653,27,457,953,41039,15169,25870,16,0.9466396985561804,2,1,0
491,73342.40000000001,28737.0,5.4,56,1,2,3,2,0,755,0.266984122217177,12,1,0.0110987556626346,0,0,0,0.2471950873163768,7,7497,2417,68446,34845,36173,9,0.3847436408967551,23,0,0
740,37000.0,21684.0,6.3,49,1,2,2,4,1,92,0.4759352355886195,1,9,0.5502731730509295,0,1,0,0.2462165062140175,6,2453,1156,60272,52195,97673,1,0.67619177309891,10,1,0
624,66298.0,35551.0,36.0,42,0,2,0,3,3,593,0.2229510825945951,2,1,0.3266205696778609,0,2,0,0.2259972077563969,22,545,978,287883,11449,276434,9,0.8313152594275551,4,0,0
572,52089.0,18172.16,7.0,34,0,0,3,4,2,276,0.5363546987102665,3,3,0.4713683592349249,0,1,0,0.1686810363740244,8,11565,1667,65891,72376,49906,11,0.2071143125384512,9,0,1
441,34171.200000000004,17003.0,4.5,46,0,2,1,0,2,481,0.6910995418309481,7,8,0.2661030600434955,0,4,0,0.0242607593881039,26,4936,1569,143112,51225,31953,11,0.5807199963667019,11,1,0
584,56734.0,17172.0,84.0,42,0,1,3,3,3,219,0.0922202256479396,4,0,0.2742442866004821,0,1,1,0.2167550478103787,24,115,4198,183778,13906,169872,16,0.8316555045460148,8,1,0
577,70494.0,17581.0,48.0,54,2,1,0,3,1,322,0.3392999484663165,4,2,0.3494120189857135,0,2,0,0.1990691392752925,29,2049,1167,55315,9338,45977,27,0.7242731343234173,9,1,1
575,37789.0,23263.0,48.0,36,0,1,2,3,0,671,0.4681197807787515,2,1,0.1220927607412336,0,2,0,0.2127393750109616,18,1820,2556,85804,12705,73099,20,0.543487948713515,5,1,0
505,28236.0,16916.0,96.0,22,0,2,5,3,0,580,0.2952320643687698,1,0,0.3687035707371796,0,0,0,0.2958862697273567,28,1697,357,24753,13503,11250,7,0.8052355123822194,5,1,0
620,15000.0,17419.0,36.0,45,0,1,3,0,2,519,0.3685281854962228,3,2,0.2971670575156526,0,1,0,0.199351486428321,20,2601,455,72122,12405,59717,20,0.8326120803209521,7,1,0
565,49825.600000000006,24591.0,11.7,49,0,0,1,4,0,409,0.7179783020378092,9,2,0.9707182072125374,0,4,0,0.1093790715754124,21,-3314,2125,134224,51923,79024,20,0.5892649307169979,24,1,0
575,23390.0,28482.0,48.0,24,0,3,2,3,0,484,0.1060329227631105,4,2,0.1879585191976946,0,2,0,0.2628591178792545,23,7523,1257,65477,75147,3188,1,0.9006254746772082,5,1,0
624,83805.0,29786.0,48.0,50,0,0,1,1,0,233,0.4986487399890711,2,1,0.1117155151445267,0,1,0,0.2450134015344884,25,2441,2495,164034,13474,150560,28,0.8008902044679337,3,1,1
601,84177.0,28908.0,60.0,41,0,0,4,0,3,293,0.1282638530087405,2,1,0.1614028820142625,0,1,0,0.2017482200413997,24,4888,175,96311,3339,92972,15,0.9372054576129132,4,1,1
528,39554.0,18826.0,84.0,30,0,1,1,4,0,343,0.0807099627026864,4,0,0.08065592458761,0,3,1,0.2238608,19,8525,3695,12818,23524,1983,1,0.7438521798339572,8,1,0
580,15948.0,13737.0,48.0,23,1,2,1,3,0,419,0.1029845473398142,3,0,0.2422646120450616,0,4,0,0.2209921310996218,21,29779,1484,59273,54561,4712,2,0.9310527412882824,5,1,0
611,89058.0,53561.0,48.0,48,0,2,1,0,3,545,0.0819320354569736,6,0,0.2715789436704616,1,2,0,0.2483694984943807,29,2513,579,19773,46767,7230,15,0.6705941825078809,7,0,0
570,83191.0,18512.0,72.0,40,0,1,0,2,0,191,0.1341992769732767,1,0,0.3165028876707629,0,0,0,0.2025277777894724,14,5639,1373,34192,9319,24873,15,0.8920808721193894,8,1,1
804,54821.0,13674.880000000005,4.0,34,2,2,1,1,1,569,0.4478714841018715,0,9,0.3494642362815304,0,1,0,0.2154860840672503,25,4011,2325,129012,25006,53147,0,0.6058654659033419,16,0,1
550,97735.0,21509.0,60.0,37,0,2,0,4,2,511,0.0756593361996306,3,2,0.2050479050124275,0,3,0,0.2712348143047425,30,3884,5119,88195,34274,53921,22,0.9355555456759423,4,1,1
379,51433.600000000006,19561.0,14.4,49,2,3,1,2,1,272,0.5202901472303033,3,8,0.6415860291823473,0,0,0,0.2728737629581754,26,2526,269,122284,62339,57055,6,0.8382555876450318,3,1,0
358,57943.2,17137.0,1.8,45,2,3,0,1,2,631,0.0131184212570601,1,4,0.7658844202413205,0,0,0,0.0854269597244995,7,2087,3228,76713,53475,9470,23,0.963271611832977,12,1,0
445,27180.0,24985.0,17.1,46,1,3,2,4,0,718,0.9595850006110868,12,6,0.3459000425826938,0,0,0,0.0193570523749949,15,5529,-134,-19283,33315,56398,24,0.3723848098815424,15,1,0
637,112493.0,13165.0,72.0,61,0,2,1,4,0,233,0.1475881764371266,5,3,0.0347145125756423,0,2,0,0.2288182099705802,20,1028,803,49182,17854,31328,13,0.6132707110487917,9,1,1
315,65188.0,18570.0,1.8,59,0,3,3,3,0,568,0.1308900233918299,9,7,0.5912793193237851,0,4,0,0.2513068605365429,4,3248,783,83544,58548,3104,4,0.4452667685958121,12,0,0
615,37698.0,47271.0,72.0,62,0,1,0,3,0,495,0.5968829790684413,6,1,0.5332222724587384,0,3,0,0.2857413900307608,21,2222,1176,211940,12748,199192,6,0.9287120920425834,3,1,0
692,51833.600000000006,19951.0,17.1,44,0,0,1,0,3,532,0.1602882463920621,14,4,0.7912993466793947,0,3,1,0.0519263212052076,25,9276,3645,99987,54667,10997,10,0.5838892325000179,26,1,0
604,52016.0,5096.0,19.8,34,0,3,3,2,0,393,0.411184259649792,11,8,0.2102370275427271,0,2,0,0.2930136620340643,11,-1235,2550,109556,43193,66524,1,0.2827648822549653,7,1,0
671,38863.0,33563.0,60.0,45,0,1,0,2,1,296,0.0854327657521347,2,0,0.2225140157533839,0,0,0,0.1707124519216958,22,4516,7314,115215,5394,109821,23,0.5800444291859025,6,0,1
420,57304.8,19401.0,8.1,37,0,2,1,0,0,645,0.4140987615637276,2,2,0.3465331531392598,0,0,0,0.0158669302688295,10,6659,2174,96067,43853,30374,16,0.9994173798747475,10,1,0
612,46766.0,17174.0,36.0,46,2,2,1,4,3,875,0.4086187533391356,2,1,0.0676342077710032,1,3,0,0.2137077121934556,32,5889,4203,49291,16910,32381,17,0.5335323613715711,2,1,0
584,102660.0,28882.0,36.0,46,1,2,4,1,0,736,0.3703086598618956,3,1,0.2942907511412472,0,4,0,0.2261002308476886,28,6892,629,125136,21198,103938,27,0.8801213261734242,10,1,1
519,41425.0,16698.24,9.0,44,0,2,0,2,1,458,0.7795445741389766,9,0,0.1070299498023049,0,0,0,0.1579753353722936,24,2654,1062,153684,-1222,56138,14,0.8610169979453031,0,0,1
687,37636.0,16143.0,4.5,53,1,0,0,3,1,400,0.8108544973516448,6,3,0.8232357384420739,0,0,0,0.0333821670150993,23,6517,525,86631,76453,77505,6,0.8771983961011177,9,1,0
697,55828.0,24145.0,7.2,36,0,2,3,0,0,345,0.8858655211136501,3,8,0.3618745677081694,0,0,0,0.2663003530137622,26,4019,1753,55426,65059,15898,1,0.6018724582906485,11,1,0
566,20377.0,10318.0,36.0,24,0,1,1,2,3,1364,0.3329775766264372,2,0,0.062369694066367,0,3,0,0.2064828810702574,26,2694,591,16226,5277,10949,8,0.7184585652503335,9,1,0
482,21905.6,16084.0,5.4,58,0,1,4,1,1,312,0.7139972167981854,6,1,0.3662039754949405,0,3,1,0.0387920081359036,10,8927,347,96548,82188,35042,12,0.5092471955154111,35,1,0
593,26326.0,46948.0,72.0,35,0,1,0,0,3,301,0.0834786264596233,1,1,0.2372796111496437,0,3,0,0.2803919821582941,26,1537,244,151281,11348,139933,2,0.884985645468742,4,1,0
597,34815.0,18470.0,12.0,30,0,1,1,0,0,304,0.1842197231883605,0,1,0.1701380289927249,0,1,0,0.1703987924116846,27,3090,390,162331,9443,152888,5,0.8418030782033725,7,1,0
562,40056.8,15821.0,1.8,59,0,1,1,3,3,715,0.7105329372379345,14,2,0.4096135705458792,0,4,0,0.1239553210591309,8,2627,1275,146033,2119,12269,11,0.7940010352057815,14,1,0
658,72218.40000000001,20454.0,2.7,47,2,2,4,1,2,377,0.5473644987308582,3,1,0.6841930886904738,0,4,0,0.2152359496484917,27,1158,2216,-28432,25490,37058,28,0.3856897757589468,12,0,0
595,42528.0,32793.0,48.0,24,0,0,0,0,0,363,0.1300991684799466,2,0,0.2280070805908358,0,0,0,0.2402718083825723,13,2594,649,93806,27309,66497,19,0.9124985079786188,5,1,0
463,38317.0,21892.0,48.0,32,1,1,4,0,0,180,0.4686584457637853,5,0,0.1733018719987086,0,4,0,0.2754259435210611,14,10303,730,65761,17776,47985,27,0.6306068846749351,5,1,0
777,65493.0,7632.0,8.0,36,2,0,3,1,0,455,0.7625826927353071,10,8,0.4151350883265701,0,0,0,0.0849523681473652,13,8017,1345,136448,861,52513,7,0.5292714148485868,12,1,1
501,29772.0,12015.0,36.0,38,0,1,1,3,3,303,0.1050163595219755,3,2,0.4172559630230402,0,1,0,0.2150172188297441,39,5992,4497,536666,17295,519371,20,0.8773129427784077,4,0,1
646,56372.0,15822.72,26.0,37,1,0,4,4,3,182,0.7759146941449935,14,2,0.5152144390992375,0,2,0,0.0828789575182446,17,7640,1494,61692,6515,70128,10,0.7213961843346621,8,0,1
521,16357.0,9442.0,12.0,42,1,0,2,3,3,285,0.1776631633787053,4,0,0.3323546836088837,0,1,0,0.2214419596418436,23,9842,184,36445,76799,7854,16,0.9006113483086438,5,1,0
546,71906.0,33411.0,60.0,30,2,1,0,1,3,421,0.3758694669569837,0,2,0.4035173112351721,0,2,0,0.2961467719899738,28,1689,2848,14683,12438,2245,1,0.8770204998478303,4,0,0
563,87051.0,38590.0,72.0,53,0,2,0,1,1,519,0.3296560554663879,1,2,0.4125577176924094,0,3,0,0.3053576256302894,19,1276,2086,14131,31049,10697,22,0.9222044392771306,5,0,0
627,27393.6,14599.0,0.9,62,1,2,3,1,2,311,0.4088524052993507,9,1,0.8261743614143254,0,4,0,0.0616961582415609,6,3613,2711,57857,29611,94945,1,0.4046694838710633,5,1,0
504,61594.4,18495.0,3.6,58,0,2,1,2,1,608,0.6862629523372265,3,5,0.8857875974510953,0,0,0,0.1714817148534064,2,1716,2154,117171,52865,46706,16,0.3980290874919323,22,0,0
572,54822.0,27052.0,108.0,40,2,1,0,0,3,434,0.4144737536506012,2,2,0.3389738401835578,0,0,0,0.270913267511311,18,4853,1235,43120,37426,5694,28,0.8178372705540898,8,1,0
643,51264.0,16467.0,0.9,57,1,3,0,2,3,390,0.0613765284754234,1,3,0.2198219487077032,0,3,0,0.1197594951766346,12,3133,2575,73230,45660,117091,22,5.227368578220037e-06,32,1,0
655,62044.0,14912.64,4.0,61,0,0,0,4,0,361,0.0486557205805724,5,4,0.5227782187619997,0,3,0,0.1311435665672934,27,845,2070,57524,55599,19338,21,0.9954143958256564,38,1,1
535,19868.0,8259.0,60.0,37,0,3,0,3,0,476,0.1286645331082631,2,1,0.3775073613135373,0,3,0,0.2556473464682747,24,3461,1222,14215,13824,3588,14,0.9128440217643216,6,1,0
582,55490.0,20425.0,72.0,37,0,1,1,1,0,230,0.2265468291451662,3,0,0.197170650439876,0,2,0,0.256088514012989,24,3854,1668,81432,2500,78932,25,0.8249154984825833,2,0,1
513,40422.0,22555.0,24.0,34,0,2,0,3,3,887,0.4070604831252747,3,1,0.5032197576254499,1,2,0,0.2532007410096137,32,3483,3131,60746,37666,23080,13,0.7850473496943453,7,1,0
434,73172.0,12872.0,60.0,32,0,0,2,1,0,178,0.1967414067468216,4,0,0.4562774446704423,0,3,0,0.3142546295573852,26,4905,2282,115532,27994,87538,14,0.9799677031613724,5,0,0
552,16707.0,12006.0,36.0,46,2,3,0,1,3,584,0.6852224393671497,3,1,0.2817296003281392,0,3,0,0.1918052876527902,31,13036,990,57365,20203,37162,28,0.7874994876375047,5,1,0
712,49025.600000000006,24337.0,11.7,39,0,1,1,4,2,451,0.2596701251628961,2,6,0.7246343961947695,0,3,0,0.17912714774498,16,1836,4450,148132,56391,-2731,8,0.6695632442931104,0,1,0
385,32132.800000000003,16805.0,0.9,64,2,1,4,1,2,380,0.4897285765548201,14,8,0.6662778858595091,0,4,0,0.04646676294053,2,8969,2479,137972,59594,32254,2,0.4884406658748571,24,1,0
686,68547.0,11148.160000000002,5.0,57,0,3,0,1,0,600,0.7864000798953819,6,1,0.1412697081464684,0,4,0,0.2504197045786624,8,4240,1677,162848,29783,93681,4,0.8199759092301323,26,1,1
632,56096.0,17861.120000000003,4.0,48,0,1,3,0,1,326,0.7254941065428959,0,2,0.7122940967511717,0,4,0,0.0700317634420614,15,4053,1843,56501,9819,63931,13,0.5374508595026926,24,0,1
513,57829.600000000006,17171.0,3.6,44,1,1,4,4,2,758,0.1859998303086805,5,2,0.1363159467221923,0,0,0,0.1144007506289424,21,-1065,2711,130759,29377,90862,13,0.3645801503295152,7,1,0
551,75902.0,9118.0,24.0,37,0,2,5,1,3,226,0.1712314786954918,1,1,0.2344380118856959,0,4,0,0.2280291873581239,25,2575,2190,47296,82431,6621,2,0.4962577160113253,5,1,1
394,56751.2,20028.0,10.8,50,1,3,4,3,2,566,0.1447619066842481,2,6,0.1440551371375129,0,1,1,0.2786344674930494,20,5138,451,119514,8208,68585,27,0.2000471286731608,6,1,0
566,184385.0,66131.0,60.0,54,0,2,1,4,2,430,0.6029461045207943,4,1,0.4335504968898772,0,2,0,0.2841689277745378,24,3794,3861,46472,36780,9692,1,0.8539682248957179,3,0,0
504,35219.0,25095.0,24.0,47,0,1,2,0,1,591,0.5156750957396545,4,1,0.1844347536536345,0,3,0,0.2336059686457746,26,9573,1825,126984,45431,81553,25,0.9585366232832232,4,1,0
626,29708.0,44904.0,108.0,67,2,0,1,3,3,631,0.3895091098283876,6,0,0.1390383949919657,0,1,0,0.3310455667053086,16,1303,5039,98472,15326,83146,11,0.7511872487094747,8,1,0
626,130708.0,11745.0,24.0,28,0,2,0,1,3,480,0.3542677674926739,2,1,0.2303042923177786,0,0,0,0.1631820930701539,23,518,889,28309,106395,8809,13,0.8635430977338462,3,1,1
587,79429.0,17141.0,48.0,47,0,1,0,4,3,752,0.4212100644601287,1,1,0.3878809290250096,0,0,0,0.1960895466366499,21,903,1777,12474,83360,3520,12,0.8055100146193417,2,1,1
565,80198.0,16631.680000000004,22.0,44,1,3,4,0,2,325,0.8580244334387287,9,4,0.6124275321904258,0,1,0,0.2604811562571968,19,1537,2582,266253,31227,2144,17,0.8998599134112057,15,1,1
359,49205.600000000006,23667.0,4.5,46,1,2,2,2,1,176,0.2247820975398222,12,1,0.6685907205818423,0,4,0,0.1920359554038923,10,4823,-266,83418,76488,-6762,10,0.2213192755371708,15,1,0
581,45543.0,22249.0,72.0,37,0,1,1,0,0,445,0.4944481045532375,3,0,0.3168599953997479,0,1,0,0.1983875092523241,14,1498,1115,81285,18201,63084,19,0.7484530117998217,6,1,0
498,22116.0,21942.0,60.0,49,0,2,4,0,1,401,0.4483398819857322,2,1,0.207321732848009,0,4,0,0.2957142087947338,26,3185,749,53795,28389,25406,14,0.7550381690780246,8,1,0
372,51290.4,23164.0,3.6,59,0,3,1,1,2,739,0.1875690831238797,13,6,0.1040672918891436,0,0,0,0.0574042073845606,15,13287,2833,91986,65829,9960,28,0.7897328311959948,23,1,0
