,CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,EducationLevel,DebtToIncomeRatio,InterestRate,JobTenure,LoanApproved
0,592,42651.0,18413.0,60.0,34,2,3,0.0328292274924903,0.2044098120145221,6,0
1,454,47818.4,19108.0,4.5,45,0,0,0.9830896424461332,0.0760926405203959,18,0
2,649,70940.0,11632.64,24.0,37,2,2,0.7628769605123178,0.0299603174906374,7,1
3,613,47164.0,20289.0,72.0,31,0,1,0.31049325212012,0.2248424788809645,5,0
4,641,100789.0,10082.0,48.0,65,0,0,0.1404349459276735,0.1653157800661605,2,1
5,554,86659.0,35494.0,36.0,39,2,0,0.3377404720747289,0.2667912908619009,5,0
6,552,30432.0,40529.0,36.0,39,0,3,0.3938664986835246,0.2407689601673951,5,0
7,599,49920.0,37613.0,48.0,39,0,3,0.380522118818587,0.2162740109028653,2,0
8,491,73342.40000000001,28737.0,5.4,56,1,2,0.0110987556626346,0.2471950873163768,23,0
9,740,37000.0,21684.0,6.3,49,1,4,0.5502731730509295,0.2462165062140175,10,0
10,624,66298.0,35551.0,36.0,42,0,3,0.3266205696778609,0.2259972077563969,4,0
11,572,52089.0,18172.16,7.0,34,0,4,0.4713683592349249,0.1686810363740244,9,1
12,441,34171.200000000004,17003.0,4.5,46,0,0,0.2661030600434955,0.0242607593881039,11,0
13,584,56734.0,17172.0,84.0,42,0,3,0.2742442866004821,0.2167550478103787,8,0
14,577,70494.0,17581.0,48.0,54,2,3,0.3494120189857135,0.1990691392752925,9,1
15,575,37789.0,23263.0,48.0,36,0,3,0.1220927607412336,0.2127393750109616,5,0
16,505,28236.0,16916.0,96.0,22,0,3,0.3687035707371796,0.2958862697273567,5,0
17,620,15000.0,17419.0,36.0,45,0,0,0.2971670575156526,0.199351486428321,7,0
18,565,49825.600000000006,24591.0,11.7,49,0,4,0.9707182072125374,0.1093790715754124,24,0
19,575,23390.0,28482.0,48.0,24,0,3,0.1879585191976946,0.2628591178792545,5,0
20,624,83805.0,29786.0,48.0,50,0,1,0.1117155151445267,0.2450134015344884,3,1
21,601,84177.0,28908.0,60.0,41,0,0,0.1614028820142625,0.2017482200413997,4,1
22,528,39554.0,18826.0,84.0,30,0,4,0.08065592458761,0.2238608,8,0
23,580,15948.0,13737.0,48.0,23,1,3,0.2422646120450616,0.2209921310996218,5,0
24,611,89058.0,53561.0,48.0,48,0,0,0.2715789436704616,0.2483694984943807,7,0
25,570,83191.0,18512.0,72.0,40,0,2,0.3165028876707629,0.2025277777894724,8,1
26,804,54821.0,13674.880000000005,4.0,34,2,1,0.3494642362815304,0.2154860840672503,16,1
27,550,97735.0,21509.0,60.0,37,0,4,0.2050479050124275,0.2712348143047425,4,1
28,379,51433.600000000006,19561.0,14.4,49,2,2,0.6415860291823473,0.2728737629581754,3,0
29,358,57943.2,17137.0,1.8,45,2,1,0.7658844202413205,0.0854269597244995,12,0
30,445,27180.0,24985.0,17.1,46,1,4,0.3459000425826938,0.0193570523749949,15,0
31,637,112493.0,13165.0,72.0,61,0,4,0.0347145125756423,0.2288182099705802,9,1
32,315,65188.0,18570.0,1.8,59,0,3,0.5912793193237851,0.2513068605365429,12,0
33,615,37698.0,47271.0,72.0,62,0,3,0.5332222724587384,0.2857413900307608,3,0
34,692,51833.600000000006,19951.0,17.1,44,0,0,0.7912993466793947,0.0519263212052076,26,0
35,604,52016.0,5096.0,19.8,34,0,2,0.2102370275427271,0.2930136620340643,7,0
36,671,38863.0,33563.0,60.0,45,0,2,0.2225140157533839,0.1707124519216958,6,1
37,420,57304.8,19401.0,8.1,37,0,0,0.3465331531392598,0.0158669302688295,10,0
38,612,46766.0,17174.0,36.0,46,2,4,0.0676342077710032,0.2137077121934556,2,0
39,584,102660.0,28882.0,36.0,46,1,1,0.2942907511412472,0.2261002308476886,10,1
40,519,41425.0,16698.24,9.0,44,0,2,0.1070299498023049,0.1579753353722936,0,1
41,687,37636.0,16143.0,4.5,53,1,3,0.8232357384420739,0.0333821670150993,9,0
42,697,55828.0,24145.0,7.2,36,0,0,0.3618745677081694,0.2663003530137622,11,0
43,566,20377.0,10318.0,36.0,24,0,2,0.062369694066367,0.2064828810702574,9,0
44,482,21905.6,16084.0,5.4,58,0,1,0.3662039754949405,0.0387920081359036,35,0
45,593,26326.0,46948.0,72.0,35,0,0,0.2372796111496437,0.2803919821582941,4,0
46,597,34815.0,18470.0,12.0,30,0,0,0.1701380289927249,0.1703987924116846,7,0
47,562,40056.8,15821.0,1.8,59,0,3,0.4096135705458792,0.1239553210591309,14,0
48,658,72218.40000000001,20454.0,2.7,47,2,1,0.6841930886904738,0.2152359496484917,12,0
49,595,42528.0,32793.0,48.0,24,0,0,0.2280070805908358,0.2402718083825723,5,0
50,463,38317.0,21892.0,48.0,32,1,0,0.1733018719987086,0.2754259435210611,5,0
51,777,65493.0,7632.0,8.0,36,2,1,0.4151350883265701,0.0849523681473652,12,1
