,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,LengthOfCreditHistory
0,1,1,0,311,0.3814163086253963,0,0,3,0,19,1782,1586,8759,32135,16
1,2,2,1,383,0.896510778028364,0,0,1,0,10,2358,1076,76040,23980,3
2,1,0,0,498,0.8713674736997723,7,0,0,0,25,6326,2347,95833,6331,8
3,2,2,2,563,0.2149944334642547,1,0,1,0,27,1168,2837,16734,9543,12
4,2,1,1,602,0.2926678127063086,8,1,3,0,19,1748,3687,110612,17546,8
5,2,2,0,461,0.4266779238066843,3,0,0,0,27,3754,408,63737,56795,19
6,1,3,1,460,0.3078177638061333,0,0,3,0,26,1950,1311,82129,5988,8
7,1,1,2,227,0.2860223543155309,5,0,3,1,27,457,953,41039,15169,16
8,2,3,0,755,0.266984122217177,12,0,0,0,7,7497,2417,68446,34845,9
9,2,2,1,92,0.4759352355886195,1,0,1,0,6,2453,1156,60272,52195,1
10,2,0,3,593,0.2229510825945951,2,0,2,0,22,545,978,287883,11449,9
11,0,3,2,276,0.5363546987102665,3,0,1,0,8,11565,1667,65891,72376,11
12,2,1,2,481,0.6910995418309481,7,0,4,0,26,4936,1569,143112,51225,11
13,1,3,3,219,0.0922202256479396,4,0,1,1,24,115,4198,183778,13906,16
14,1,0,1,322,0.3392999484663165,4,0,2,0,29,2049,1167,55315,9338,27
15,1,2,0,671,0.4681197807787515,2,0,2,0,18,1820,2556,85804,12705,20
16,2,5,0,580,0.2952320643687698,1,0,0,0,28,1697,357,24753,13503,7
17,1,3,2,519,0.3685281854962228,3,0,1,0,20,2601,455,72122,12405,20
18,0,1,0,409,0.7179783020378092,9,0,4,0,21,-3314,2125,134224,51923,20
19,3,2,0,484,0.1060329227631105,4,0,2,0,23,7523,1257,65477,75147,1
20,0,1,0,233,0.4986487399890711,2,0,1,0,25,2441,2495,164034,13474,28
21,0,4,3,293,0.1282638530087405,2,0,1,0,24,4888,175,96311,3339,15
22,1,1,0,343,0.0807099627026864,4,0,3,1,19,8525,3695,12818,23524,1
23,2,1,0,419,0.1029845473398142,3,0,4,0,21,29779,1484,59273,54561,2
24,2,1,3,545,0.0819320354569736,6,1,2,0,29,2513,579,19773,46767,15
25,1,0,0,191,0.1341992769732767,1,0,0,0,14,5639,1373,34192,9319,15
26,2,1,1,569,0.4478714841018715,0,0,1,0,25,4011,2325,129012,25006,0
27,2,0,2,511,0.0756593361996306,3,0,3,0,30,3884,5119,88195,34274,22
28,3,1,1,272,0.5202901472303033,3,0,0,0,26,2526,269,122284,62339,6
29,3,0,2,631,0.0131184212570601,1,0,0,0,7,2087,3228,76713,53475,23
30,3,2,0,718,0.9595850006110868,12,0,0,0,15,5529,-134,-19283,33315,24
31,2,1,0,233,0.1475881764371266,5,0,2,0,20,1028,803,49182,17854,13
32,3,3,0,568,0.1308900233918299,9,0,4,0,4,3248,783,83544,58548,4
33,1,0,0,495,0.5968829790684413,6,0,3,0,21,2222,1176,211940,12748,6
34,0,1,3,532,0.1602882463920621,14,0,3,1,25,9276,3645,99987,54667,10
35,3,3,0,393,0.411184259649792,11,0,2,0,11,-1235,2550,109556,43193,1
36,1,0,1,296,0.0854327657521347,2,0,0,0,22,4516,7314,115215,5394,23
37,2,1,0,645,0.4140987615637276,2,0,0,0,10,6659,2174,96067,43853,16
38,2,1,3,875,0.4086187533391356,2,1,3,0,32,5889,4203,49291,16910,17
39,2,4,0,736,0.3703086598618956,3,0,4,0,28,6892,629,125136,21198,27
40,2,0,1,458,0.7795445741389766,9,0,0,0,24,2654,1062,153684,-1222,14
41,0,0,1,400,0.8108544973516448,6,0,0,0,23,6517,525,86631,76453,6
42,2,3,0,345,0.8858655211136501,3,0,0,0,26,4019,1753,55426,65059,1
43,1,1,3,1364,0.3329775766264372,2,0,3,0,26,2694,591,16226,5277,8
44,1,4,1,312,0.7139972167981854,6,0,3,1,10,8927,347,96548,82188,12
45,1,0,3,301,0.0834786264596233,1,0,3,0,26,1537,244,151281,11348,2
46,1,1,0,304,0.1842197231883605,0,0,1,0,27,3090,390,162331,9443,5
47,1,1,3,715,0.7105329372379345,14,0,4,0,8,2627,1275,146033,2119,11
48,2,4,2,377,0.5473644987308582,3,0,4,0,27,1158,2216,-28432,25490,28
49,0,0,0,363,0.1300991684799466,2,0,0,0,13,2594,649,93806,27309,19
50,1,4,0,180,0.4686584457637853,5,0,4,0,14,10303,730,65761,17776,27
51,0,3,0,455,0.7625826927353071,10,0,0,0,13,8017,1345,136448,861,7
52,1,1,3,303,0.1050163595219755,3,0,1,0,39,5992,4497,536666,17295,20
53,0,4,3,182,0.7759146941449935,14,0,2,0,17,7640,1494,61692,6515,10
54,0,2,3,285,0.1776631633787053,4,0,1,0,23,9842,184,36445,76799,16
55,1,0,3,421,0.3758694669569837,0,0,2,0,28,1689,2848,14683,12438,1
56,2,0,1,519,0.3296560554663879,1,0,3,0,19,1276,2086,14131,31049,22
57,2,3,2,311,0.4088524052993507,9,0,4,0,6,3613,2711,57857,29611,1
58,2,1,1,608,0.6862629523372265,3,0,0,0,2,1716,2154,117171,52865,16
59,1,0,3,434,0.4144737536506012,2,0,0,0,18,4853,1235,43120,37426,28
60,3,0,3,390,0.0613765284754234,1,0,3,0,12,3133,2575,73230,45660,22
61,0,0,0,361,0.0486557205805724,5,0,3,0,27,845,2070,57524,55599,21
62,3,0,0,476,0.1286645331082631,2,0,3,0,24,3461,1222,14215,13824,14
63,1,1,0,230,0.2265468291451662,3,0,2,0,24,3854,1668,81432,2500,25
64,2,0,3,887,0.4070604831252747,3,1,2,0,32,3483,3131,60746,37666,13
65,0,2,0,178,0.1967414067468216,4,0,3,0,26,4905,2282,115532,27994,14
66,3,0,3,584,0.6852224393671497,3,0,3,0,31,13036,990,57365,20203,28
67,1,1,2,451,0.2596701251628961,2,0,3,0,16,1836,4450,148132,56391,8
68,1,4,2,380,0.4897285765548201,14,0,4,0,2,8969,2479,137972,59594,2
69,3,0,0,600,0.7864000798953819,6,0,4,0,8,4240,1677,162848,29783,4
70,1,3,1,326,0.7254941065428959,0,0,4,0,15,4053,1843,56501,9819,13
71,1,4,2,758,0.1859998303086805,5,0,0,0,21,-1065,2711,130759,29377,13
72,2,5,3,226,0.1712314786954918,1,0,4,0,25,2575,2190,47296,82431,2
73,3,4,2,566,0.1447619066842481,2,0,1,1,20,5138,451,119514,8208,27
74,2,1,2,430,0.6029461045207943,4,0,2,0,24,3794,3861,46472,36780,1
75,1,2,1,591,0.5156750957396545,4,0,3,0,26,9573,1825,126984,45431,25
76,0,1,3,631,0.3895091098283876,6,0,1,0,16,1303,5039,98472,15326,11
77,2,0,3,480,0.3542677674926739,2,0,0,0,23,518,889,28309,106395,13
78,1,0,3,752,0.4212100644601287,1,0,0,0,21,903,1777,12474,83360,12
79,3,4,2,325,0.8580244334387287,9,0,1,0,19,1537,2582,266253,31227,17
80,2,2,1,176,0.2247820975398222,12,0,4,0,10,4823,-266,83418,76488,10
81,1,1,0,445,0.4944481045532375,3,0,1,0,14,1498,1115,81285,18201,19
82,2,4,1,401,0.4483398819857322,2,0,4,0,26,3185,749,53795,28389,14
